3G LV-SWP 320-850,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Series name: ,Filter @ 5 mm,,Filter @ 6.76 mm,,Filter @ 9.66 mm,,Filter @ 12.57 mm,,Filter @ 18.38 mm,,Filter @ 24.19 mm,,Filter @ 30 mm,,Filter @ 35.81 mm,,Filter @ 41.62 mm,,Filter @ 47.43 mm,,Filter @ 53.24 mm,,Filter @ 58 mm,
Quantity (unit): ,Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%)
,280,-0.002674,280,0.000326,280,-0.000326,320,46.296327,350,48.94752,380,48.010035,410,62.258024,440,69.545519,470,77.660319,500,94.921665,520,61.388722,534,69.906578
,281,0.002867,281,0.007689,281,0.006777,321,35.273519,351,41.95197,381,56.202654,411,72.413424,441,80.103326,471,86.656246,501,95.85031,521,66.720003,535,79.794193
,282,0.008589,282,-0.004359,282,-0.00501,322,32.557513,352,40.410425,382,68.379723,412,82.310969,442,87.976238,472,92.227559,502,96.196566,522,75.301385,536,89.556908
,283,0.016332,283,0.004229,283,-0.002798,323,37.441312,353,47.445229,383,79.271635,413,88.407818,443,90.527912,473,94.650037,503,96.728262,523,84.546998,537,95.742475
,284,0.03754,284,0.027018,284,0.007858,324,38.555435,354,60.670468,384,84.959969,414,90.999496,444,88.945818,474,95.338512,504,96.981909,524,91.939909,538,97.276401
,285,0.069685,285,0.04451,285,-0.002335,325,33.989926,355,72.85908,385,86.062976,415,91.771788,445,86.599168,475,95.310044,505,96.436446,525,95.834409,539,96.639042
,286,0.143482,286,0.106331,286,0.005511,326,32.864202,356,79.237617,386,85.593334,416,92.387504,446,84.893579,476,95.072597,506,95.101692,526,96.892302,540,95.766497
,287,0.272956,287,0.23176,287,0.018525,327,40.451265,357,80.638633,387,84.94268,417,92.942678,447,83.850653,477,94.588145,507,93.499618,527,96.96028,541,96.174186
,288,0.538818,288,0.430937,288,0.053519,328,53.987764,358,79.714177,388,84.414126,418,92.823183,448,82.911597,478,93.974474,508,92.283451,528,96.492276,542,97.266545
,289,0.887956,289,0.676079,289,0.152106,329,65.925939,359,78.481559,389,85.095429,419,92.277313,449,81.737984,479,93.271918,509,91.629769,529,95.768056,543,97.839523
,290,1.353699,290,1.046251,290,0.298357,330,71.315609,360,77.927915,390,86.46934,420,91.564802,450,80.60759,480,92.549863,510,91.583258,530,95.044789,544,97.132966
,291,2.046615,291,1.632282,291,0.402613,331,72.450012,361,77.992529,391,87.627399,421,90.840563,451,79.886651,481,91.956044,511,92.064154,531,95.116219,545,95.708716
,292,2.914384,292,2.046736,292,0.637153,332,72.942025,362,78.495008,392,88.59312,422,90.352931,452,79.793443,482,91.463126,512,92.851112,532,95.712322,546,94.686306
,293,4.218105,293,2.528382,293,1.653862,333,73.570241,363,80.000761,393,88.936803,423,91.016252,453,80.930882,483,91.346234,513,93.992971,533,96.50541,547,94.718731
,294,6.733708,294,4.239628,294,3.415484,334,73.457233,364,82.270929,394,88.460565,424,91.795506,454,83.170505,484,92.128385,514,95.395872,534,97.235124,548,95.409233
,295,10.555731,295,6.614129,295,4.782683,335,72.209976,365,83.817928,395,87.388278,425,92.113057,455,85.841877,485,93.794006,515,96.39116,535,97.400194,549,96.111716
,296,14.612819,296,7.603211,296,6.185393,336,71.684167,366,83.850971,396,85.782593,426,91.842614,456,88.100137,486,95.363846,516,96.525063,536,97.164197,550,96.469777
,297,18.339272,297,8.466196,297,9.11591,337,72.204157,367,83.168564,397,84.869236,427,91.385643,457,89.633549,487,96.132123,517,95.984031,537,97.151656,551,96.671018
,298,21.908934,298,10.947245,298,12.869596,338,72.567915,368,83.598906,398,84.567417,428,91.189434,458,90.501455,488,96.362114,518,95.002868,538,97.233562,552,96.847383
,299,25.198774,299,12.755633,299,14.126478,339,72.862798,369,84.247555,399,84.945467,429,91.336581,459,91.201575,489,96.584111,519,93.947178,539,97.615023,553,97.354143
,300,28.214094,300,13.99674,300,12.124233,340,74.321339,370,83.865626,400,85.418855,430,91.227217,460,92.0832,490,96.801527,520,93.349725,540,97.16538,554,97.991193
,301,30.769581,301,18.687483,301,13.873806,341,75.828151,371,82.70399,401,86.100993,431,90.126938,461,92.800987,491,96.859552,521,92.803412,541,96.324943,555,98.278866
,302,32.639703,302,27.164152,302,18.482366,342,75.726517,372,82.324971,402,87.235342,432,89.228704,462,92.976645,492,96.05739,522,92.080132,542,95.129839,556,97.683908
,303,34.471159,303,35.365692,303,17.032753,343,74.816021,373,83.332756,403,89.051617,433,89.511637,463,92.528398,493,94.055141,523,91.169851,543,93.957203,557,96.204918
,304,36.734602,304,40.647933,304,13.139173,344,74.009519,374,83.741842,404,90.577574,434,90.780756,464,91.499158,494,91.272504,524,90.292131,544,93.193853,558,94.381046
,305,38.941164,305,44.400835,305,18.05532,345,74.432962,375,83.144926,405,91.084929,435,92.398435,465,90.641283,495,88.536835,525,89.689107,545,93.30387,559,93.044013
,306,40.787827,306,47.575209,306,27.878374,346,74.670616,376,82.768875,406,90.725334,436,93.391234,466,90.486218,496,87.016241,526,90.053571,546,93.909358,560,92.574509
,307,42.182517,307,49.863425,307,29.680286,347,74.90126,377,83.490709,407,90.206037,437,93.159463,467,90.946233,497,86.950562,527,91.799591,547,94.625354,561,92.634061
,308,42.40714,308,51.584208,308,23.898145,348,75.340114,378,84.88644,408,90.374984,438,92.0982,468,91.466527,498,87.535776,528,93.923965,548,95.203704,562,92.855836
,309,41.512142,309,52.967148,309,24.096244,349,75.836924,379,86.074322,409,90.664744,439,91.24521,469,91.705206,499,87.957031,529,95.687886,549,95.096875,563,92.986269
,310,40.904258,310,53.824016,310,28.843491,350,75.545128,380,85.399513,410,90.46755,440,91.098462,470,91.784065,500,87.605132,530,96.741776,550,94.848651,564,92.875537
,311,40.668948,311,54.563172,311,29.368494,351,74.886322,381,85.080702,411,89.421124,441,91.445124,471,91.474078,501,86.556431,531,97.066115,551,94.819784,565,92.787739
,312,39.306388,312,55.725324,312,27.073185,352,75.518008,382,84.506561,412,88.660997,442,91.361198,472,91.250413,502,85.635768,532,96.980926,552,94.878035,566,93.710732
,313,36.001477,313,56.458258,313,30.929103,353,76.998156,383,84.825478,413,88.09051,443,90.588673,473,91.591402,503,85.608111,533,97.219141,553,95.17384,567,95.258507
,314,31.233949,314,56.470171,314,42.083246,354,78.03758,384,85.062891,414,88.568125,444,90.00157,474,91.964313,504,86.638941,534,97.608642,554,95.326783,568,96.913339
,315,25.419237,315,57.459736,315,53.943638,355,78.222891,385,84.620485,415,89.049583,445,90.278359,475,92.261198,505,88.450948,535,97.441043,555,95.340871,569,97.9511
,316,18.525115,316,58.980298,316,60.47603,356,78.687307,386,84.222763,416,89.299201,446,91.622373,476,92.556579,506,90.337985,536,96.284429,556,95.059913,570,97.506947
,317,11.465242,317,59.75384,317,62.107242,357,79.034902,387,85.11715,417,89.535929,447,93.327693,477,92.675427,507,91.851957,537,93.918088,557,94.586875,571,96.113118
,318,5.671076,318,60.286441,318,62.820993,358,78.637144,388,86.275345,418,90.313336,448,94.377121,478,92.732528,508,92.788092,538,90.510371,558,94.204596,572,94.339168
,319,2.238467,319,63.555395,319,67.366826,359,77.46166,389,86.569974,419,91.421835,449,94.247289,479,92.942151,509,93.1882,539,87.314252,559,93.49877,573,93.412158
,320,0.706248,320,61.306732,320,65.650133,360,76.961745,390,86.388302,420,92.416526,450,93.512783,480,93.171936,510,93.543345,540,84.729559,560,93.125661,574,93.259369
,321,0.245075,321,60.283036,321,66.843918,361,77.380448,391,86.498417,421,92.732227,451,93.003059,481,93.318268,511,94.255155,541,83.514511,561,92.757349,575,93.447208
,322,0.098932,322,59.623907,322,68.190972,362,78.64105,392,87.41101,422,92.051843,452,93.190752,482,93.244716,512,95.04686,542,83.24266,562,93.021531,576,93.948799
,323,0.021557,323,60.263388,323,68.799281,363,79.339418,393,88.419549,423,91.412516,453,93.871783,483,92.869284,513,95.765861,543,83.11339,563,93.500317,577,93.694732
,324,0.006334,324,60.83798,324,67.586964,364,78.958314,394,88.914379,424,90.952521,454,94.380682,484,92.347809,514,96.209114,544,82.598993,564,94.004664,578,93.021769
,325,0.010288,325,61.452509,325,67.009646,365,78.210607,395,88.547592,425,90.574513,455,94.515774,485,92.106621,515,96.071755,545,81.39575,565,94.728216,579,92.223478
,326,-0.005114,326,62.252577,326,67.380534,366,78.345045,396,87.886875,426,90.210334,456,94.14488,486,92.31652,516,95.588626,546,80.069296,566,95.289381,580,91.890333
,327,0.005115,327,62.804633,327,67.445034,367,79.250161,397,88.263998,427,89.904636,457,93.8191,487,92.766214,517,94.950535,547,79.027357,567,95.917015,581,92.428229
,328,-0.002454,328,62.086644,328,67.237558,368,78.911518,398,88.546126,428,89.767205,458,93.744626,488,93.419294,518,94.412498,548,78.859056,568,96.268733,582,93.981614
,329,-0.003829,329,60.692587,329,67.798935,369,77.633225,399,88.263275,429,89.998202,459,93.7858,489,94.051504,519,94.014475,549,79.682436,569,97.056704,583,96.019791
,330,-0.00041,330,58.993174,330,68.808831,370,76.644782,400,87.340054,430,90.617224,460,93.488553,490,94.190952,520,93.903282,550,81.425046,570,97.718179,584,97.618712
,331,0.00512,331,57.334855,331,69.834949,371,77.721208,401,85.984808,431,91.209936,461,92.529573,491,94.074609,521,93.906638,551,83.759507,571,98.179023,585,98.282736
,332,-0.001296,332,55.750755,332,70.755777,372,79.676132,402,85.410575,432,91.718424,462,91.303201,492,93.896061,522,93.973002,552,86.200881,572,98.092887,586,98.221994
,333,-0.003819,333,53.714506,333,71.460078,373,80.476358,403,86.294455,433,91.564991,463,90.512194,493,93.497624,523,94.083996,553,88.618652,573,97.578209,587,97.607215
,334,0.005056,334,51.19991,334,71.485443,374,79.546487,404,87.945272,434,91.012255,464,90.603459,494,93.123381,524,94.382943,554,90.44905,574,96.007404,588,96.952169
,335,-0.009749,335,48.020491,335,70.925984,375,77.134274,405,89.255054,435,90.886361,465,91.413732,495,92.869899,525,94.477498,555,91.927836,575,93.804362,589,96.370904
,336,0.002521,336,44.805126,336,70.129824,376,76.320124,406,89.404496,436,91.552574,466,92.536172,496,92.594216,526,94.355558,556,93.130096,576,91.635342,590,96.024278
,337,0.001979,337,40.897686,337,69.986731,377,77.643766,407,88.268715,437,92.430798,467,93.382391,497,92.284004,527,94.267607,557,94.023916,577,89.81338,591,95.411588
,338,-0.001229,338,34.668385,338,70.225325,378,80.133537,408,87.595589,438,93.308466,468,93.531795,498,91.957836,528,94.036747,558,94.605978,578,88.867034,592,94.381231
,339,0.004516,339,26.1068,339,70.598217,379,81.665639,409,87.967774,439,93.73969,469,93.363708,499,91.673909,529,93.723222,559,94.856942,579,88.732134,593,92.399737
,340,-0.002804,340,16.651232,340,71.300501,380,81.531434,410,88.7607,440,93.481698,470,93.474986,500,91.427826,530,93.684732,560,95.139547,580,88.697877,594,90.490724
,341,0.002327,341,8.622673,341,72.146702,381,81.494206,411,89.197257,441,93.127055,471,93.718268,501,91.184109,531,93.858555,561,94.845246,581,88.871032,595,88.654133
,342,-0.007368,342,3.605004,342,72.105888,382,81.43551,412,88.90812,442,92.713569,472,94.248846,502,90.996434,532,94.065731,562,94.703529,582,88.859881,596,87.486007
,343,-0.001773,343,1.411868,343,71.841677,383,81.38981,413,87.597402,443,92.414844,473,94.844312,503,90.955935,533,94.202369,563,94.2777,583,88.553509,597,87.10125
,344,0.002861,344,0.544703,344,71.831796,384,80.012813,414,86.912691,444,92.161831,474,94.773442,504,91.013945,534,94.085836,564,93.80256,584,88.19,598,87.35468
,345,0.003824,345,0.189405,345,72.656392,385,77.43106,415,87.452731,445,91.929521,475,94.032413,505,91.265229,535,93.751767,565,93.254916,585,87.726661,599,88.050661
,346,0.005391,346,0.066886,346,72.585656,386,75.928996,416,88.837039,446,91.869251,476,93.252326,506,91.661663,536,93.428918,566,92.730638,586,87.693192,600,88.41504
,347,-0.005397,347,0.010043,347,71.853229,387,76.909961,417,89.720874,447,92.182479,477,92.719094,507,92.398166,537,93.134228,567,92.137988,587,88.172021,601,88.103256
,348,0.007307,348,0.010381,348,71.311804,388,78.323778,418,89.403853,448,92.765677,478,92.596348,508,93.442649,538,93.053261,568,91.763125,588,89.011353,602,87.370265
,349,0.008467,349,0.007306,349,71.737153,389,77.43546,419,88.422262,449,93.314775,479,92.89056,509,94.450638,539,93.1607,569,91.682041,589,89.795226,603,86.231236
,350,-0.004159,350,0.000409,350,72.246024,390,73.323229,420,87.132098,450,93.879769,480,93.31747,510,95.369944,540,93.161453,570,91.532689,590,90.814308,604,85.574185
,351,-0.000477,351,0.003068,351,71.558128,391,68.230867,421,87.04728,451,94.004155,481,93.563188,511,96.043505,541,93.554689,571,91.781369,591,92.096899,605,85.393588
,352,0.007702,352,0.011383,352,69.8479,392,65.783534,422,87.992708,452,93.63024,482,93.409535,512,96.1126,542,94.259454,572,92.003921,592,93.319066,606,86.286833
,353,-0.010508,353,-0.009007,353,69.071785,393,66.64531,423,89.437718,453,93.424455,483,93.028817,513,95.940001,543,94.993002,573,92.629163,593,94.545288,607,87.736298
,354,0.006955,354,0.00525,354,70.287474,394,69.599262,424,90.163305,454,93.73899,484,92.842895,514,95.600904,544,95.578431,574,93.141807,594,95.467772,608,89.851721
,355,0.010542,355,0.005577,355,72.364857,395,71.54712,425,89.906333,455,94.218982,485,93.236138,515,94.894513,545,95.876906,575,93.595666,595,96.019811,609,92.199681
,356,-0.006869,356,-0.001292,356,74.083155,396,69.333639,426,89.292551,456,94.274529,486,93.978157,516,94.009956,546,95.795048,576,94.125133,596,96.424442,610,94.081115
,357,0.004015,357,0.003267,357,74.156666,397,60.200032,427,89.09524,457,93.617768,487,94.779774,517,93.227589,547,95.256325,577,94.536471,597,96.011334,611,95.090993
,358,0.001223,358,0.001223,358,73.416259,398,44.877166,428,89.478294,458,92.508706,488,95.712691,518,92.368697,548,94.506514,578,94.85012,598,95.501116,612,95.536066
,359,-0.010823,359,-0.007011,359,72.79859,399,28.790351,429,89.549114,459,91.328542,489,96.414794,519,91.450492,549,93.701904,579,94.887388,599,95.092394,613,95.266948
,360,0.005581,360,0.007011,360,71.792662,400,16.569341,430,88.641958,460,90.652457,490,96.44186,520,90.703787,550,93.27728,580,94.804435,600,94.710226,614,94.658282
,361,0.002452,361,0.000681,361,69.795982,401,8.690959,431,86.610334,461,90.769526,491,96.357788,521,90.038694,551,93.353642,581,94.307631,601,94.899197,615,93.911523
,362,-0.008646,362,-0.002246,362,67.980639,402,3.893002,432,84.632944,462,91.489838,492,96.487069,522,89.853654,552,93.47435,582,93.922359,602,95.364348,616,94.056819
,363,0.004079,363,0.003535,363,67.761291,403,1.40462,433,84.218787,463,92.322278,493,96.595534,523,90.172313,553,93.657824,583,93.777101,603,95.815238,617,94.688801
,364,0.005718,364,0.009054,364,68.599399,404,0.432054,434,85.429268,464,92.595423,494,96.411528,524,91.068236,554,93.508732,584,93.85739,604,96.308545,618,95.866953
,365,-0.011727,365,-0.011318,365,68.023678,405,0.129625,435,87.443063,465,91.933111,495,95.699376,525,92.387891,555,93.221219,585,94.027674,605,96.156377,619,96.792483
,366,0.003469,366,-0.00136,366,64.827798,406,0.046698,436,88.055544,466,90.93288,496,94.571321,526,93.819014,556,92.755973,586,94.335744,606,95.900945,620,97.433886
,367,0.00238,367,0.000952,367,61.296676,407,0.016231,437,85.568708,467,90.420331,497,93.348954,527,95.300902,557,92.21235,587,94.569375,607,95.132049,621,97.710981
,368,-0.007278,368,-0.007959,368,59.813541,408,0.019286,438,81.106707,468,90.791505,498,92.455686,528,96.402642,558,91.94247,588,94.427066,608,94.734274,622,97.006592
,369,-0.00436,369,-6.80E-05,369,60.608703,409,0.00356,439,77.112448,469,92.078998,499,92.172663,529,97.036771,559,91.969043,589,94.179953,609,94.578135,623,95.956614
,370,-0.004212,370,-0.002717,370,60.880121,410,-0.002838,440,75.699819,470,93.81348,500,92.446454,530,97.035255,560,92.906449,590,93.935376,610,94.694638,624,94.931143
,371,-0.002512,371,-0.003937,371,57.377154,411,0.006068,441,77.296652,471,94.801758,501,93.228216,531,96.684615,561,93.705371,591,93.762657,611,94.878568,625,94.131896
,372,-0.005222,372,-0.00529,372,47.815921,412,0.004553,442,80.888016,472,94.904099,502,94.183912,532,96.09282,562,95.027247,592,94.026672,612,95.28563,626,93.579688
,373,0.00251,373,0.005089,373,33.964831,413,0.001316,443,84.224832,473,94.502571,503,94.917996,533,95.515577,563,95.811758,593,94.296337,613,95.320449,627,94.051263
,374,0.003808,374,0.006392,374,20.280633,414,0.003427,444,85.706768,474,93.960552,504,95.270691,534,94.805738,564,96.304468,594,95.11131,614,95.115186,628,94.762887
,375,-0.001697,375,-0.010389,375,10.634602,415,0.00191,445,83.883491,475,93.822866,505,95.290875,535,94.010653,565,96.140057,595,95.441089,615,94.688344,629,95.54646
,376,0.010906,376,0.013954,376,5.199481,416,0.000856,446,76.939218,476,94.185323,506,95.247554,536,93.3962,566,96.002254,596,95.727282,616,94.154796,630,95.711893
,377,0.004337,377,0.012672,377,2.256007,417,0.000527,447,64.747175,477,94.087847,507,95.468335,537,93.172654,567,95.966952,597,95.46486,617,94.183372,631,95.537269
,378,-0.014236,378,-0.013966,378,0.799189,418,-0.002636,448,49.965614,478,92.745638,508,95.784683,538,93.067068,568,96.130589,598,94.953973,618,94.170462,632,94.635976
,379,0.006151,379,0.00582,379,0.235325,419,0.005402,449,35.303032,479,90.534274,509,96.057072,539,93.190111,569,96.397495,599,94.294044,619,94.313407,633,93.580852
,380,-0.005674,380,-0.004157,380,0.060378,420,0.002701,450,22.241669,480,88.397025,510,96.043431,540,93.166746,570,96.381937,600,93.875923,620,94.619855,634,92.663339
,381,0.002977,381,0.006352,381,0.026667,421,-0.000791,451,11.802686,481,87.261789,511,95.471817,541,93.394118,571,96.364418,601,93.819115,621,94.819446,635,92.440658
,382,-0.003105,382,0.000132,382,0.006211,422,0.003422,452,4.960346,482,87.896178,512,94.333126,542,93.626941,572,95.972561,602,93.99097,622,94.889955,636,92.877603
,383,-0.010317,383,-0.004365,383,0.001521,423,0.000988,453,1.696121,483,90.056422,513,93.148304,543,93.671599,573,95.51966,603,94.279497,623,94.774143,637,93.893329
,384,0.005295,384,0.006287,384,0.007346,424,0.001449,454,0.559532,484,92.245245,514,92.362553,544,93.680192,574,94.784661,604,94.818594,624,94.662414,638,94.791697
,385,0.004037,385,0.002316,385,0.004169,425,-0.003752,455,0.207721,485,92.675499,515,92.210385,545,93.544768,575,94.145881,605,94.840385,625,94.766363,639,95.626644
,386,-0.008065,386,-0.007668,386,-0.003702,426,0.002698,456,0.087554,486,90.351666,516,92.667075,546,93.466598,576,93.916176,606,94.13015,626,94.97873,640,96.179861
,387,0.005292,387,0.005888,387,0.003903,427,0.005661,457,0.042368,487,85.987409,517,93.59906,547,93.721896,577,93.54734,607,93.185369,627,95.462795,641,96.118149
,388,0.000926,388,0.002183,388,0.007079,428,-0.005334,458,0.023249,488,81.715764,518,94.685834,548,94.137119,578,93.485245,608,92.370896,628,95.887352,642,95.601665
,389,-0.006422,389,-0.004966,389,-0.002251,429,0.001974,459,0.014609,489,79.535579,519,95.215273,549,94.542229,579,93.580419,609,91.517338,629,96.596567,643,95.009609
,390,0.005093,390,0.004564,390,0.00549,430,0.002963,460,0.005997,490,80.016574,520,94.901023,550,94.958398,580,93.50418,610,91.40093,630,96.901029,644,94.979033
,391,0.002181,391,0.002247,391,0.001057,431,-0.000526,461,0.010289,491,82.923087,521,94.175936,551,95.331945,581,93.106121,611,91.757563,631,97.109188,645,95.068487
