3G LV-SWP 320-850,,,,,,,,,,,,,,,,,,,,,,,,
,392,-0.008015,392,-0.010333,392,-0.006226,432,0.002762,462,0.007093,492,86.830086,522,93.466292,552,95.477937,582,92.949043,612,92.471225,632,96.73311,646,95.539644
,393,0.003305,393,0.003702,393,0.006149,433,0.000197,463,-0.001005,493,90.211476,523,93.078432,553,95.592663,583,92.904597,613,93.313749,633,96.247187,647,96.384344
,394,0.003236,394,0.008851,394,0.004359,434,-0.000788,464,0.003022,494,92.12058,524,93.298735,554,95.405253,584,93.234196,614,94.249366,634,95.849736,648,96.783961
,395,-0.002575,395,-0.001981,395,0.002179,435,0.003876,465,0.003024,495,91.513557,525,93.995761,555,95.468384,585,93.515661,615,94.608743,635,95.637119,649,97.003101
,396,-0.005019,396,-0.007264,396,-0.002641,436,0.002563,466,0.002487,496,87.634394,526,94.844984,556,95.569661,586,94.104262,616,94.695679,636,95.591923,650,96.405764
,397,0.002315,397,0.003903,397,0.001786,437,6.50E-05,467,0.000807,497,80.441719,527,95.58129,557,95.814038,587,95.056521,617,94.581801,637,95.665766,651,95.66299
,398,0.001255,398,0.000462,398,0.005882,438,-0.000525,468,0.003092,498,70.833404,528,95.585204,558,95.905919,588,95.831391,618,94.72698,638,95.645034,652,94.817635
,399,0.000396,399,-0.003036,399,-0.002442,439,0.002956,469,0.004162,499,59.981608,529,95.091781,559,95.679023,589,96.307771,619,94.849379,639,95.099279,653,94.418138
,400,0.003435,400,0.003303,400,0.001189,440,0.003018,470,-6.70E-05,500,47.537458,530,94.694877,560,95.61739,590,96.561483,620,95.355425,640,94.643506,654,94.230656
,401,0.00185,401,-0.003106,401,0.000594,441,-0.000721,471,0.006378,501,33.069018,531,94.737871,561,94.945202,591,96.643898,621,96.064276,641,94.121767,655,94.46514
,402,0.000131,402,0.002837,402,-0.001385,442,0.005902,472,0.002749,502,18.80535,532,95.139838,562,94.391547,592,96.682215,622,96.704131,642,93.583305,656,95.084598
,403,0.000726,403,0.004818,403,0.004422,443,0.003211,473,-0.002749,503,8.401588,533,95.968276,563,93.828401,593,96.358247,623,97.16455,643,93.232894,657,95.591747
,404,0.001715,404,-0.004617,404,-0.000659,444,0.000654,474,0.007438,504,3.09476,534,96.441485,564,93.432737,594,96.478933,624,97.001043,644,93.322954,658,95.649298
,405,-0.002112,405,0.00033,405,-0.002046,445,0.004118,475,0.002877,505,1.102042,535,95.856934,565,93.281246,595,96.272916,625,96.366244,645,93.569436,659,95.531366
,406,-0.003632,406,0.00099,406,0.002179,446,0.00111,476,-0.004686,506,0.434851,536,94.223672,566,93.585653,596,96.261372,626,95.376222,646,94.103788,660,94.790515
,407,-0.005806,407,-0.008247,407,-0.003365,447,0.000849,477,0.003214,507,0.192142,537,91.962822,567,94.296766,597,95.901776,627,94.434588,647,94.601028,661,94.132319
,408,0.004425,408,0.003764,408,0.004887,448,0.001632,478,0.001739,508,0.094028,538,89.8816,568,94.874353,598,95.33064,628,93.507243,648,94.938245,662,93.34836
,409,-0.003098,409,0.00112,409,-0.002439,449,0.004962,479,-0.002135,509,0.055387,539,88.972624,569,95.40375,599,95.019667,629,92.957596,649,94.830012,663,92.864524
,410,-0.008382,410,-0.007788,410,-0.006138,450,0.002092,480,0.001466,510,0.033831,540,89.147071,570,95.578208,600,94.47967,630,92.746979,650,94.460312,664,92.865481
,411,0.004881,411,0.001912,411,0.004155,451,-0.000196,481,0.001606,511,0.021023,541,90.874631,571,95.783721,601,94.182496,631,92.9898,651,94.15539,665,93.567111
,412,-0.000791,412,0.001847,412,0.002309,452,0.000916,482,0.000336,512,0.015267,542,93.141302,572,96.088519,602,94.117712,632,93.107474,652,93.674421,666,94.315832
,413,0.00125,413,0.000789,413,0.006384,453,-0.002295,483,0.002627,513,0.009175,543,94.536373,573,96.539209,603,94.403495,633,93.01833,653,93.602683,667,94.878644
,414,0.006591,414,-0.000131,414,0.000988,454,0.002694,484,0.002967,514,0.011304,544,94.081429,574,96.877788,604,94.818726,634,92.923395,654,93.613248,668,95.116732
,415,-0.003623,415,0.00079,415,-0.004348,455,0.003689,485,-0.00135,515,0.006091,545,91.588986,575,97.191247,605,95.042765,635,92.772515,655,94.106557,669,95.189066
,416,-0.001383,416,0.003161,416,0.00494,456,-0.003958,486,0.001015,516,0.002649,546,88.193796,576,97.450422,606,95.081029,636,92.633099,656,94.795056,670,94.559041
,417,-0.002505,417,-0.002373,417,0.003098,457,-0.002313,487,0.005754,517,0.004323,547,84.863833,577,97.14809,607,94.740224,637,92.720302,657,95.217153,671,93.700544
,418,0.003361,418,-0.005535,418,-0.003163,458,0.001722,488,0.004204,518,0.005607,548,82.730084,578,96.407546,608,94.544761,638,92.814498,658,95.394999,672,92.747351
,419,0.00224,419,0.004677,419,0.001515,459,0.004847,489,0.001565,519,0.005404,549,82.607701,579,95.270398,609,94.100166,639,93.259478,659,95.614615,673,92.202097
,420,-0.004546,420,-0.000658,420,-0.002042,460,-0.002598,490,0.003956,520,0.0036,550,84.311172,580,94.164301,610,94.241199,640,94.223899,660,95.697641,674,92.314839
,421,-0.000461,421,-0.003164,421,-0.001384,461,-0.001403,491,0.004167,521,0.008807,551,87.236107,581,93.062333,611,94.278223,641,95.458817,661,95.489966,675,92.884061
,422,0.003553,422,0.002369,422,0.00204,462,0.00194,492,-0.002601,522,0.002698,552,89.990493,582,92.543188,612,95.166083,642,96.153472,662,95.264325,676,93.774327
,423,-0.00448,423,-0.001779,423,-0.00336,463,0.002547,493,0.00329,523,0.003146,553,91.962934,583,92.710452,613,96.008172,643,96.460099,663,95.408899,677,94.474537
,424,0.003558,424,6.50E-05,424,0.002306,464,-0.000403,494,0.002813,524,0.004113,554,92.88571,584,93.465067,614,96.682862,644,96.901411,664,95.682767,678,95.43238
,425,-0.001119,425,-0.000526,425,0.000395,465,-0.001545,495,0,525,0.006105,555,92.270426,585,94.333962,615,97.200566,645,96.710254,665,96.256186,679,96.015331
,426,0.000526,426,0.003882,426,0.000329,466,0.002218,496,0.007057,526,0.004814,556,89.844417,586,95.301952,616,97.477419,646,96.373913,666,96.797391,680,96.027896
,427,0.004279,427,-0.000592,427,0.002106,467,-0.001143,497,0.006501,527,-0.002635,557,85.700991,587,95.929859,617,97.395623,647,96.139089,667,97.122546,681,95.929423
,428,-0.002239,428,-0.005334,428,-0.003556,468,-0.001882,498,0.004643,528,0.005915,558,80.163061,588,95.65097,618,96.920566,648,96.119588,668,96.947512,682,95.46871
,429,0.000921,429,0.00678,429,-0.001184,469,0.002215,499,0.00361,529,0.005207,559,73.969704,589,95.083203,619,96.228997,649,96.052977,669,96.7613,683,95.042731
,430,-0.000922,430,0.002568,430,0.003688,470,0,500,0.0036,530,-0.003856,560,66.918597,590,94.237648,620,96.091192,650,96.200013,670,96.172133,684,95.177234
,431,0.002367,431,-0.004077,431,0.001973,471,0.002215,501,0.002708,531,-0.001994,561,56.648211,591,93.669973,621,95.770113,651,96.348515,671,95.447103,685,95.582262
,432,-0.000854,432,0.001709,432,-0.004077,472,0.001475,502,-0.000202,532,0.004119,562,42.514184,592,93.317488,622,95.827559,652,96.322899,672,94.545363,686,96.277448
,433,-0.002106,433,-0.002698,433,-0.001974,473,-0.000938,503,0.005249,533,0.003155,563,26.881352,593,93.578788,623,96.041585,653,96.332699,673,94.042714,687,96.95838
,434,0.005194,434,0.000328,434,0.005457,474,0.001541,504,0.000872,534,0.000644,564,13.79488,594,94.352792,624,96.626355,654,95.823609,674,93.605667,688,97.269896
,435,0.000131,435,0.002431,435,0.000459,475,-0.000267,505,-0.002808,535,-0.000644,565,5.866277,595,95.031454,625,96.79138,655,95.357333,675,93.341143,689,97.105705
,436,-0.005784,436,-0.001906,436,-0.004863,476,-0.002209,506,-0.000666,536,0.00264,566,2.30865,596,95.751104,626,96.457797,656,94.568843,676,93.393337,690,96.774712
,437,0.005848,437,-0.000722,437,-0.000197,477,0.000803,507,0.003586,537,-0.000644,567,0.956748,597,95.924727,627,95.823548,657,94.170657,677,93.453679,691,95.962157
,438,-0.002692,438,0.002364,438,0.003677,478,0.003946,508,-0.000331,538,0.002129,568,0.436371,598,95.558139,628,94.992615,658,94.053404,678,93.515066,692,94.836808
,439,-0.003612,439,0.001182,439,0.006109,479,0.001401,509,-0.001252,539,0.007562,569,0.230848,599,94.814375,629,94.108261,659,93.950085,679,93.21632,693,93.727709
,440,-0.002427,440,-0.000984,440,-0.000328,480,-0.005,510,-0.000722,540,-0.000516,570,0.118657,600,94.578573,630,93.590369,660,94.078156,680,93.102169,694,92.830327
,441,0.002756,441,-0.005774,441,-0.006693,481,0.001807,511,0.002161,541,0.001291,571,0.072447,601,94.508138,631,93.57189,661,94.677478,681,93.068501,695,92.18795
,442,0.000131,442,0.004853,442,-0.000655,482,0.006996,512,0.005676,542,0.007308,572,0.043771,602,95.107641,632,93.867432,662,94.938626,682,93.024152,696,91.984591
,443,-0.002884,443,0.000131,443,0.002294,483,-0.001953,513,-0.00039,543,0.001424,573,0.035877,603,95.767991,633,94.451976,663,95.196923,683,93.161802,697,92.147732
,444,-0.00085,444,-0.002683,444,0.001374,484,-0.004315,514,-0.001948,544,0.000906,574,0.025102,604,96.595405,634,95.469197,664,95.048681,684,93.999602,698,92.61924
,445,0.00183,445,0.004053,445,-0.001699,485,0.000878,515,-0.003758,545,-0.004269,575,0.011035,605,97.237577,635,96.34792,665,95.057936,685,94.86044,699,93.198587
,446,-0.001829,446,0.000457,446,-0.001763,486,0.002233,516,-0.000516,546,0.01074,576,0.016377,606,96.625556,636,96.87073,666,94.708891,686,95.919371,700,93.617893
,447,0.002939,447,-0.000195,447,0.003984,487,0,517,0.003032,547,0.008223,577,0.01162,607,94.994703,637,97.091904,667,94.34142,687,96.621037,701,93.791501
,448,-0.000326,448,-0.001632,448,-0.000522,488,-0.001763,518,6.40E-05,548,-0.001943,578,0.006438,608,93.125721,638,96.744579,668,94.279981,688,97.230185,702,93.973155
,449,-0.001305,449,0.001893,449,-0.000391,489,0.003472,519,-0.002637,549,6.40E-05,579,0.014202,609,91.095681,639,96.51254,669,94.720615,689,97.581693,703,93.867842
,450,0.005753,450,-0.000653,450,0.001634,490,0.001364,520,-0.003665,550,0.005247,580,0.002563,610,89.615634,640,96.067129,670,95.362056,690,97.687986,704,93.996251
,451,-0.002225,451,0.000785,451,0.000327,491,0,521,0.001607,551,0.008363,581,0.006433,611,89.247633,641,95.955846,671,95.896484,691,97.311484,705,94.098757
,452,-0.000916,452,0.00144,452,0.000982,492,0.002395,522,0.002505,552,0.006095,582,0.009065,612,90.221983,642,96.076682,672,96.267477,692,96.971825,706,94.482513
,453,0.005705,453,-0.001114,453,-0.000918,493,-0.001302,523,0.000898,553,0.003504,583,0.012548,613,92.052759,643,96.138164,673,96.81152,693,96.594794,707,94.90476
,454,0.001445,454,0.002891,454,0.00184,494,-0.005695,524,-0.002699,554,0.010644,584,0.009269,614,94.144084,644,96.740508,674,97.085416,694,96.273633,708,95.636617
,455,0.007049,455,0.00079,455,0.004084,495,0.00048,525,0.000642,555,0.006235,585,6.50E-05,615,95.277011,645,97.063213,675,96.981636,695,95.792803,709,96.212032
,456,0.014515,456,-0.000923,456,-0.002441,496,0.002946,526,0.006547,556,0.007863,586,0.010381,616,95.118132,646,96.920563,676,96.525371,696,95.886919,710,96.854686
,457,0.009584,457,0.001718,457,-0.002577,497,-0.002121,527,-0.002121,557,0.007018,587,0.002038,617,93.504274,647,96.436407,677,95.874048,697,96.148248,711,97.166942
,458,0.006623,458,-0.00139,458,-0.001126,498,-0.001229,528,-0.002957,558,0.003054,588,0.006441,618,90.765728,648,95.583449,678,95.533284,698,96.036731,712,97.113881
,459,0.012816,459,0.002257,459,0.005113,499,0.002792,529,0.002121,559,0.004933,589,0.000656,619,87.598948,649,94.533387,679,95.193447,699,96.065512,713,97.142546
,460,0.002598,460,-0.003265,460,-0.000133,500,0.000747,530,-0.000128,560,0.00052,590,0.009526,620,85.393509,650,93.470408,680,95.024991,700,95.572444,714,96.996574
,461,0.003608,461,-0.000668,461,-0.001403,501,-0.000473,531,-0.000193,561,0.000454,591,0.001446,621,84.124378,651,92.979449,681,95.315096,701,94.899777,715,96.632528
,462,0.000401,462,0.003814,462,-0.001873,502,-0.003576,532,-0.003797,562,0.000786,592,-0.002366,622,84.713281,652,92.881976,682,95.401362,702,94.452038,716,96.162699
,463,0.004693,463,-0.001206,463,-0.002883,503,0.003297,533,0.004379,563,-0.000591,593,0.009724,623,86.472372,653,93.477747,683,95.51321,703,93.911351,717,95.823832
,464,-0.00188,464,-0.002216,464,0.002888,504,-6.70E-05,534,0.002384,564,0.001643,594,-0.001907,624,89.207242,654,94.407181,684,95.825429,704,93.764779,718,95.571612
,465,-0.001747,465,0.001277,465,0.002487,505,-0.001604,535,-0.004832,565,0.002101,595,0.000131,625,91.916915,655,95.338356,685,95.899241,705,93.739065,719,95.378946
,466,0.003698,466,0.000537,466,0.000336,506,6.60E-05,536,0.001932,566,0.004462,596,-0.001908,626,94.178533,656,96.252549,686,95.805419,706,93.961937,720,94.946115
,467,-0.00148,467,-0.000605,467,-0.002825,507,0.001726,537,0.001805,567,-0.000919,597,0.009601,627,95.276742,657,96.720685,687,95.178567,707,94.176672,721,94.681178
,468,0.003092,468,0.000739,468,-0.002756,508,-0.001456,538,0.000774,568,-0.003087,598,0.010062,628,95.41997,658,96.56422,688,94.761329,708,94.849558,722,94.552728
,469,0.001275,469,-0.000537,469,0.004564,509,-0.000923,539,0.000711,569,-0.000854,599,-0.007101,629,94.358664,659,96.02035,689,94.452663,709,95.386954,723,94.457803
,470,-0.002082,470,0.003022,470,0.001948,510,0.005321,540,0.001549,570,0.000394,600,-0.000854,630,92.47761,660,94.953448,690,94.459931,710,95.663619,724,94.417461
,471,0.009063,471,0.002282,471,0.000604,511,0.001571,541,0.002259,571,0.001642,601,-0.001051,631,89.54414,661,94.23596,691,94.579252,711,95.629682,725,94.292177
,472,-0.004224,472,-0.002078,472,-0.002011,512,-0.001892,542,-0.003427,572,-0.002165,602,0.007892,632,86.057502,662,93.63999,692,94.874141,712,95.452099,726,94.096681
,473,-0.005364,473,0.000469,473,6.70E-05,513,0.002798,543,-0.003689,573,-0.002234,603,0.004928,633,82.745462,663,93.517754,693,95.477461,713,95.217778,727,94.037905
,474,0.003216,474,0.001206,474,0.003015,514,0.002533,544,0.00673,574,0.008542,604,-0.003358,634,79.9194,664,93.867954,694,96.187667,714,94.852692,728,94.205942
,475,0.008231,475,0.002476,475,-0.003814,515,-0.002851,545,-0.002328,575,-0.003875,605,0.002239,635,76.311281,665,94.683099,695,96.725791,715,94.63715,729,94.293226
,476,-0.003882,476,-0.003012,476,-0.002209,516,0.001486,546,-0.000582,576,-0.000855,606,0.010677,636,67.799449,666,95.584456,696,97.190215,716,94.811559,730,94.254145
,477,-0.000937,477,6.60E-05,477,0.00529,517,-0.003226,547,0.002266,577,-0.001641,607,0.00158,637,53.480653,667,96.680989,697,97.339278,717,95.054123,731,94.313985
,478,-0.001939,478,0.005016,478,-0.000802,518,0.001353,548,0.001425,578,0.003744,608,-0.00046,638,35.56718,668,97.114876,698,97.454702,718,95.475169,732,94.289686
,479,0.000533,479,-0.0002,479,-0.002602,519,0.003152,549,-0.000129,579,0.00138,609,0.012052,639,19.369143,669,97.516337,699,97.486954,719,96.102367,733,94.127481
,480,0.007533,480,-0.003733,480,0.0026,520,-0.001285,550,-0.005053,580,-0.006179,610,0.000592,640,8.816563,670,97.570493,700,97.127542,720,96.739165,734,94.04722
,481,-0.000937,481,0.004083,481,-0.000267,521,-0.002507,551,0.002463,581,-0.000787,611,0.003817,641,3.799177,671,97.275854,701,97.130664,721,97.387097,735,94.233272
,482,-0.000807,482,0.000941,482,0.000874,522,0.001156,552,0.005058,582,0.007883,612,0.016484,642,1.71166,672,96.878156,702,97.087014,722,97.826519,736,94.412317
,483,-0.00101,483,-0.005457,483,0.001077,523,0.001091,553,-0.000713,583,-0.003087,613,-0.004551,643,0.841532,673,96.607454,703,96.818313,723,97.823469,737,94.902469
,484,-0.003641,484,0.004248,484,0.000606,524,-0.003084,554,0.000973,584,0.00092,614,0.00132,644,0.445704,674,96.443101,704,96.661041,724,97.620457,738,95.564794
,485,0.001958,485,-0.000878,485,-0.00108,525,0.000835,555,-0.002208,585,-0.005123,615,-0.000989,645,0.267791,675,96.576932,705,96.345335,725,97.115406,739,96.175198
,486,0.006834,486,-0.00115,486,-0.000203,526,0.002503,556,0.005978,586,0.004073,616,0.013921,646,0.15926,676,96.462434,706,95.878856,726,96.448252,740,96.736474
,487,-0.001828,487,0.00176,487,-0.000541,527,-0.003728,557,0.002599,587,-0.004932,617,0.006468,647,0.103136,677,95.984598,707,95.248851,727,95.938448,741,97.258171
,488,-0.000745,488,0.004815,488,0.002034,528,0.000707,558,-0.003249,588,0.000657,618,-0.005215,648,0.066628,678,95.266604,708,95.077517,728,95.892162,742,97.63806
,489,-6.80E-05,489,-0.001225,489,0.006059,529,0.0036,559,0.006426,589,-0.003416,619,0.014384,649,0.053511,679,94.133534,709,94.646938,729,95.846167,743,97.618268
,490,0.010163,490,-0.002114,490,-6.80E-05,530,-0.003727,560,-0.001235,590,0.008737,620,0.006267,650,0.042022,680,93.138517,710,94.505912,730,95.836939,744,97.295269
,491,0.001161,491,0.006353,491,-0.000683,531,-0.000965,561,-0.003574,591,-0.002037,621,0.00396,651,0.025313,681,91.912877,711,94.361041,731,96.156239,745,96.804234
,492,0.000821,492,-0.002601,492,-0.00438,532,0.003282,562,-0.003212,592,-0.005325,622,0.013394,652,0.018999,682,91.031919,712,94.335797,732,96.147407,746,96.319283
,493,0.005483,493,-0.003701,493,0.000205,533,0.000579,563,0.005193,593,0.006241,623,0.000791,653,0.019632,683,90.693795,713,94.696359,733,96.108954,747,95.889873
,494,0.006449,494,0.00343,494,0.001166,534,-0.000322,564,0.001577,594,0.000526,624,0.006341,654,0.027493,684,91.189988,714,95.160291,734,95.895285,748,95.650663
,495,0.006926,495,-0.001097,495,-0.000754,535,-0.003672,565,-0.007551,595,-0.001183,625,0.006609,655,0.008,685,92.375228,715,95.483192,735,95.615732,749,95.484972
,496,0.02028,496,0.001507,496,-0.000342,536,0.00206,566,0.001378,596,-0.003882,626,0.005871,656,0.010709,686,93.652472,716,95.932239,736,95.138135,750,95.525093
,497,0.021419,497,0.00041,497,0.003353,537,-0.001998,567,0.00519,597,-0.001578,627,0.002309,657,0.007933,687,94.518772,717,96.173456,737,94.557592,751,95.976997
,498,0.030731,498,-0.000751,498,0.000341,538,0.001741,568,-0.001904,598,0.011444,628,-0.00634,658,0.020745,688,94.819677,718,96.234273,738,94.061533,752,96.496948
,499,0.039031,499,0.003746,499,-0.001907,539,0.005365,569,-0.000986,599,-0.004274,629,0.011099,659,0.013092,689,94.235892,719,96.224848,739,93.996547,753,96.642096
,500,0.034441,500,-0.00129,500,0.001494,540,-0.002129,570,-0.004467,600,-0.000197,630,0.000792,660,0.010501,690,92.981007,720,95.729382,740,94.049749,754,96.680262
,501,0.032768,501,-0.00176,501,0.003046,541,-0.000193,571,0.008473,601,-0.00493,631,-0.002049,661,0.011163,691,91.048905,721,95.266257,741,94.099035,755,96.474946
,502,0.034009,502,-0.001821,502,-0.002901,542,0.005238,572,-0.001443,602,0.004209,632,0.010566,662,0.01261,692,89.108159,722,95.241975,742,94.513445,756,95.889602
,503,0.025236,503,0.005383,503,-0.002893,543,-0.001229,573,-0.002628,603,0.001577,633,-0.005811,663,0.016707,693,87.66943,723,95.093896,743,95.25498,757,95.186283
,504,0.021598,504,-0.003555,504,0.00114,544,-0.00097,574,0.003482,604,-0.004873,634,0.004623,664,0.005147,694,87.043088,724,95.232866,744,96.001104,758,94.503498
,505,0.02835,505,-0.00254,505,0.002407,545,-0.004592,575,0.000919,605,-0.001976,635,0.004424,665,0.008655,695,87.153024,725,95.324712,745,96.818325,759,93.855051
,506,0.01999,506,-0.002998,506,-0.003331,546,0.008799,576,-0.000657,606,0.010281,636,0.00218,666,0.013013,696,88.261263,726,95.621144,746,97.546384,760,93.228808
,507,0.022448,507,0.004781,507,-0.003187,547,0.002849,577,-0.000525,607,-0.004213,637,0.001124,667,0.008384,697,89.723534,727,96.06643,747,98.05482,761,93.337893
,508,0.030261,508,-0.002383,508,0.002847,548,-0.005053,578,-0.001116,608,-0.001251,638,-0.003634,668,0.005009,698,91.545965,728,96.229668,748,98.455509,762,93.771844
,509,0.029408,509,-0.000725,509,0.001186,549,0.000518,579,0.006838,609,0.003754,639,0.011026,669,0.004223,699,93.078652,729,96.002688,749,98.44195,763,94.185833
