K206156 LF103454 LVSWP,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Series name: ,Sample 2E @ 2 mm,,Sample 2E @ 8 mm,,Sample 2E @ 20 mm,,Sample 2E @ 32 mm,,Sample 2E @ 44 mm,,Sample 2E @ 56 mm,,Sample 2E @ 68 mm,,Sample 2E @ 80 mm,,Sample 2E @ 86 mm,
Quantity (unit): ,? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%],? [nm],T [%]
,324,42.660624,324,22.21775,324,1.701818,324,0.002304,324,1.305509,324,0.0011,324,0.000393,324,0.000563,324,0.000183
,326,55.417074,326,18.538503,326,13.563115,326,0.001793,326,0.975421,326,0.000589,326,0.00055,326,0.000367,326,9.20E-05
,328,59.843983,328,10.551339,328,22.843729,328,0.00216,328,0.249666,328,0.00072,328,0.000929,328,0.000105,328,0.000262
,330,69.716402,330,20.727057,330,19.923072,330,0.014259,330,0.123997,330,0.000929,330,0.005494,330,0.000432,330,0.000432
,332,80.901821,332,38.169917,332,29.787002,332,0.007469,332,0.089326,332,0.000888,332,0.036117,332,0.000274,332,-2.60E-05
,334,85.09498,334,49.196846,334,16.221592,334,0.002895,334,0.022429,334,0.003547,334,0.079231,334,0.000417,334,-5.20E-05
,336,86.502559,336,45.656217,336,31.844645,336,0.002881,336,0.007169,336,0.011875,336,0.417693,336,0.000899,336,0.000143
,338,88.991382,338,57.758675,338,52.020353,338,0.024994,338,0.005176,338,0.003833,338,0.7279,338,0.010326,338,-3.90E-05
,340,89.941697,340,61.824189,340,61.097062,340,2.39487,340,0.002111,340,0.000977,340,0.221228,340,0.009212,340,0.000248
,342,89.960274,342,68.853076,342,27.5734,342,1.969046,342,0.003942,342,0.000377,342,0.072508,342,0.002589,342,0.00069
,344,89.398753,344,81.945283,344,26.678913,344,7.328321,344,0.002742,344,0.000364,344,0.201789,344,0.003885,344,0.000936
,346,88.699592,346,87.372009,346,20.781746,346,26.788526,346,0.004715,346,0.078655,346,0.057939,346,0.005481,346,0.019949
,348,90.972114,348,88.668466,348,20.569724,348,29.14011,348,0.013322,348,0.129215,348,0.00301,348,0.030433,348,0.01855
,350,92.507495,350,89.05647,350,13.75465,350,24.81269,350,0.004927,350,0.037288,350,0.027085,350,0.26802,350,0.004447
,352,91.528523,352,89.98116,352,24.667953,352,42.95248,352,0.002086,352,0.005624,352,0.012102,352,3.525445,352,0.016884
,354,88.031367,354,91.247584,354,38.098516,354,20.452722,354,0.003765,354,0.011593,354,0.007879,354,2.198852,354,0.014193
,356,88.227124,356,91.106169,356,53.392338,356,24.01832,356,0.015071,356,0.006354,356,0.004946,356,0.46438,356,0.009479
,358,91.930985,358,92.258467,358,49.698941,358,56.279137,358,2.535061,358,0.002657,358,0.003263,358,0.385422,358,0.100093
,360,91.909901,360,92.903479,360,57.092655,360,67.060483,360,3.066611,360,0.005557,360,0.004181,360,0.182402,360,1.277215
,362,92.077721,362,92.222206,362,67.13539,362,58.477282,362,3.571905,362,0.00275,362,0.003533,362,0.053721,362,1.746456
,364,92.061709,364,91.585439,364,66.792223,364,44.997292,364,25.160009,364,0.005925,364,0.00068,364,0.076118,364,0.476141
,366,91.935676,366,91.6035,366,75.598882,366,33.770721,366,37.359111,366,0.03769,366,-0.000102,366,0.314678,366,0.512914
,368,91.268179,368,91.816868,368,84.117015,368,20.761736,368,19.995086,368,0.028186,368,8.90E-05,368,0.375858,368,0.159273
,370,89.805136,370,91.205403,370,86.786529,370,24.197307,370,34.657459,370,0.006477,370,0.0008,370,0.085263,370,0.152595
,372,91.603128,372,91.233544,372,89.456421,372,16.978113,372,31.233416,372,0.007268,372,0.000114,372,0.01192,372,0.137828
,374,93.969475,374,92.419769,374,90.580047,374,25.275213,374,25.018565,374,0.01676,374,0.005842,374,0.144794,374,0.114881
,376,94.061165,376,93.962467,376,91.581702,376,39.605234,376,24.202567,376,0.343342,376,0.003029,376,0.057334,376,1.103952
,378,93.942534,378,94.356846,378,92.108239,378,51.659351,378,62.337352,378,1.278889,378,0.002757,378,0.006848,378,0.559027
,380,92.95979,380,93.771852,380,92.909127,380,57.252006,380,65.7314,380,1.346504,380,0.006835,380,0.001607,380,0.075402
,382,92.25841,382,91.482464,382,93.266831,382,55.905786,382,64.30054,382,5.463113,382,0.003148,382,0.000739,382,0.019792
,384,77.987707,384,92.060361,384,90.777638,384,68.035683,384,23.963727,384,29.013463,384,0.006154,384,0.000726,384,0.251604
,386,34.15666,386,94.118244,386,90.38086,386,68.574045,386,29.904914,386,24.3794,386,0.036412,386,0.00056,386,0.058977
,388,7.232951,388,94.022277,388,93.041137,388,69.590608,388,31.214728,388,13.71124,388,0.042324,388,0.000203,388,0.003076
,390,0.978561,390,94.151295,390,94.186392,390,80.147436,390,21.42983,390,26.16117,390,0.008708,390,0.000203,390,0.002539
,392,0.131644,392,94.725902,392,94.265624,392,87.748067,392,26.486488,392,61.420336,392,0.004819,392,0.000254,392,0.001129
,394,0.020599,394,93.834203,394,93.801621,394,91.251522,394,18.640561,394,28.520902,394,0.007744,394,0.000139,394,0.000164
,396,0.004187,396,93.587807,396,93.490732,396,92.105821,396,34.778615,396,13.987563,396,0.019073,396,-0.000392,396,-0.000101
,398,0.001163,398,92.584846,398,94.145124,398,92.77991,398,42.255243,398,53.40461,398,2.246576,398,6.30E-05,398,0.00067
,400,0.001452,400,91.14828,400,93.398443,400,95.156655,400,54.619195,400,66.367076,400,4.244344,400,0.003788,400,0.000644
,402,0.001589,402,93.147029,402,94.703113,402,94.954433,402,58.134695,402,67.963609,402,2.885812,402,0.008464,402,0.000757
,404,0.001361,404,95.01626,404,95.767538,404,92.012963,404,57.898879,404,56.924354,404,8.50796,404,0.026994,404,0.000428
,406,0.000617,406,95.078078,406,94.471638,406,92.914717,406,73.81887,406,19.402817,406,12.463041,406,0.016107,406,0.000126
,408,0.000377,408,96.092278,408,94.154565,408,95.751154,408,76.748197,408,34.338406,408,17.931713,408,0.003822,408,-0.000189
,410,0.001935,410,96.103505,410,95.395601,410,96.62732,410,74.533741,410,33.183905,410,7.949741,410,0.013744,410,0.002462
,412,0.001331,412,95.328308,412,95.764302,412,95.966604,412,80.500431,412,20.311024,412,9.536822,412,0.01577,412,0.013334
,414,0.00079,414,93.737351,414,94.469063,414,94.77614,414,89.181136,414,31.617075,414,43.125227,414,0.047361,414,0.049655
,416,0.000927,416,80.557186,416,94.588451,416,93.924318,416,91.558212,416,21.1202,416,32.586365,416,2.976231,416,0.00893
,418,0.001364,418,37.32529,418,95.651545,418,94.332629,418,93.758226,418,31.911971,418,11.917291,418,3.873833,418,0.004054
,420,0.002612,420,8.408004,420,96.542154,420,93.70922,420,94.732506,420,44.298207,420,18.618656,420,2.778168,420,0.013673
,422,0.004007,422,1.320561,422,95.912282,422,91.618086,422,95.553392,422,48.238738,422,41.10307,422,11.968093,422,0.027002
,424,0.003577,424,0.198569,424,93.172003,424,92.942162,424,95.512571,424,64.259926,424,55.13794,424,29.412282,424,0.046816
,426,0.004122,426,0.035438,426,91.713037,426,95.582892,426,95.080142,426,57.340172,426,66.9352,426,45.637667,426,3.819737
,428,0.004381,428,0.009109,428,92.971904,428,97.137422,428,94.82883,428,65.549362,428,37.86562,428,28.42085,428,4.183526
,430,0.004086,430,0.003216,430,93.913154,430,95.897503,430,95.807368,430,77.876062,430,15.688995,430,10.451154,430,2.510828
,432,0.003104,432,0.001651,432,94.069027,432,92.881213,432,96.948545,432,79.858718,432,43.280605,432,35.241569,432,12.520988
,434,0.001923,434,0.001191,434,94.481636,434,92.059568,434,97.320313,434,80.192398,434,29.02034,434,35.628774,434,42.085723
,436,0.0014,436,0.001053,436,94.287528,436,93.137369,436,96.56451,436,84.781062,436,19.874314,436,9.113005,436,38.179056
,438,0.00099,438,0.001274,438,93.742366,438,95.04274,438,96.870843,438,88.671989,438,36.278077,438,9.315651,438,38.921979
,440,0.000976,440,0.0011,440,94.838157,440,96.605416,440,97.160254,440,89.029842,440,24.415261,440,10.766771,440,12.791526
,442,0.001037,442,0.001741,442,95.927527,442,96.851957,442,95.930182,442,92.845399,442,32.18637,442,13.258735,442,14.161
,444,0.000334,444,0.002323,444,95.164931,444,97.24789,444,96.158689,444,95.028074,444,47.236171,444,34.080784,444,35.572477
,446,2.50E-05,446,0.002164,446,94.578947,446,98.01941,446,94.81623,446,95.688737,446,46.030598,446,59.616203,446,18.440568
,448,0.000494,448,0.001594,448,95.222293,448,96.967554,448,92.448841,448,95.572971,448,63.653796,448,27.304751,448,6.826518
,450,0.000519,450,0.001432,450,95.559719,450,94.458258,450,93.864648,450,95.836087,450,60.404979,450,11.754851,450,16.848595
,452,0.000395,452,0.00185,452,95.921058,452,93.220165,452,96.418428,452,95.906008,452,60.131639,452,24.31719,452,15.290285
,454,0.000567,454,0.002973,454,96.738244,454,94.291117,454,97.734549,454,95.992243,454,75.916735,454,22.054782,454,13.944538
,456,0.000283,456,0.005016,456,95.827278,456,94.93478,456,97.742046,456,96.962177,456,82.126253,456,17.514108,456,36.011476
,458,6.20E-05,458,0.004976,458,93.841938,458,94.073733,458,96.435316,458,97.767646,458,84.710064,458,37.59245,458,47.576229
,460,0.000295,460,0.004658,460,93.58187,460,93.423527,460,94.761892,460,97.643546,460,85.315551,460,29.587664,460,14.427718
,462,0.000442,462,0.005218,462,94.82408,462,93.842592,462,94.08611,462,97.089874,462,89.472179,462,29.405673,462,14.693745
,464,0.000454,464,0.006178,464,95.425338,464,94.203817,464,95.185339,464,97.233559,464,92.996698,464,47.324558,464,26.066392
,466,7.30E-05,466,0.005104,466,96.043327,466,94.255878,466,96.566561,466,96.568862,466,92.439165,466,44.817861,466,15.455688
,468,-8.60E-05,468,0.003397,468,97.062925,468,94.605869,468,95.705258,468,95.738739,468,94.68026,468,56.164449,468,21.358874
,470,4.90E-05,470,0.002551,470,96.914797,470,95.075241,470,95.197363,470,96.561445,470,96.778137,470,65.406628,470,41.623282
,472,0.000195,472,0.002012,472,96.150597,472,95.27081,472,96.754918,472,96.016864,472,97.363458,472,56.538519,472,29.28312
,474,0.000414,474,0.001596,474,95.166669,474,95.80324,474,98.364805,474,95.255839,474,97.724103,474,66.941866,474,36.269724
,476,8.50E-05,476,0.000877,476,93.235752,476,96.221703,476,97.779577,476,96.931937,476,97.149495,476,79.142195,476,46.357764
,478,0.000146,478,0.000509,478,90.370463,478,95.032746,478,95.448749,478,97.364956,478,95.108652,478,84.450116,478,42.294001
,480,0.000169,480,0.000193,480,63.21732,480,93.734945,480,93.095744,480,97.206464,480,93.602052,480,90.624562,480,58.747926
,482,0.00069,482,0.000271,482,20.664439,482,94.685215,482,92.545593,482,98.210127,482,95.186483,482,90.66495,482,66.473207
,484,0.000666,484,0.000666,484,3.787501,484,96.349501,484,93.934438,484,97.748494,484,97.386676,484,92.439137,484,59.754439
,486,6.20E-05,486,0.000507,486,0.645275,486,96.808549,486,95.273433,486,96.988781,486,97.574622,486,93.785663,486,69.744236
,488,0.000273,488,0.000422,488,0.130615,488,97.119113,488,94.949789,488,97.073439,488,96.027068,488,94.164995,488,78.387044
,490,0.000411,490,0.000249,490,0.035053,490,97.798295,490,94.293915,490,95.474528,490,95.076981,490,96.885103,490,83.670508
,492,0.001511,492,0.000375,492,0.01209,492,96.656807,492,94.724775,492,93.449955,492,96.561158,492,97.204058,492,90.492167
,494,0.001999,494,0.000262,494,0.005424,494,94.365219,494,96.260171,494,94.486711,494,97.651524,494,96.36113,494,91.703917
,496,0.000896,496,0.000361,496,0.002724,496,94.246864,496,97.020763,496,96.770843,496,96.817926,496,96.660369,496,93.225975
,498,0.000259,498,0.000407,498,0.001939,498,96.668505,498,96.362904,498,98.07827,498,97.169394,498,97.630191,498,93.745108
,500,8.60E-05,500,0.000379,500,0.001431,500,97.708072,500,95.432439,500,98.390896,500,97.263495,500,97.767622,500,93.351246
,502,0.00017,502,0.000279,502,0.001408,502,96.425396,502,95.525839,502,98.372795,502,96.399173,502,96.227979,502,96.216621
,504,0.000338,504,0.000181,504,0.001593,504,95.592135,504,96.444842,504,97.099763,504,97.079166,504,95.999882,504,97.798958
,506,0.000192,506,0.000252,506,0.002079,506,96.313249,506,96.529842,506,95.152977,506,98.197073,506,97.588996,506,97.217218
,508,0.000395,508,0.000311,508,0.003078,508,97.012429,508,95.50438,508,94.331065,508,97.827131,508,98.361064,508,96.573647
,510,0.000502,510,0.000119,510,0.003872,510,97.048481,510,95.237955,510,94.844723,510,98.009366,510,97.764482,510,96.655284
,512,0.000346,512,0.000107,512,0.003567,512,97.52364,512,96.875409,512,95.144903,512,98.495301,512,96.416483,512,97.924546
,514,0.000441,514,0.000131,514,0.002537,514,97.995906,514,98.416074,514,94.611806,514,97.872951,514,95.321469,514,97.669115
,516,0.000369,516,0.000416,516,0.002094,516,96.665252,516,97.70531,516,94.213656,516,97.336376,516,95.448848,516,96.005515
,518,0.000273,518,0.000404,518,0.002163,518,94.285285,518,96.120339,518,94.56599,518,97.502663,518,95.772191,518,96.41105
,520,0.000273,520,0.000226,520,0.002816,520,93.784356,520,95.629278,520,95.259286,520,96.968266,520,96.273033,520,98.13616
,522,0.000356,522,0.000166,522,0.004512,522,95.296043,522,95.534044,522,95.709194,522,96.33066,522,97.243337,522,98.376798
,524,0.00101,524,0.000202,524,0.006758,524,96.813488,524,95.369565,524,95.969344,524,97.246409,524,96.830068,524,97.354571
,526,0.003444,526,0.00038,526,0.007564,526,97.122714,526,95.860812,526,95.594499,526,98.235477,526,94.887856,526,96.49412
,528,0.008683,528,0.000725,528,0.006759,528,97.368606,528,97.286007,528,95.157739,528,97.97589,528,94.996733,528,96.217893
,530,0.008505,530,0.000606,530,0.006759,530,97.923704,530,97.856043,530,95.184144,530,97.496804,530,97.109816,530,95.553468
,532,0.003932,532,0.001473,532,0.008138,532,98.214288,532,96.647532,532,95.814214,532,98.134285,532,98.530937,532,95.062801
,534,0.003339,534,0.002851,534,0.008911,534,98.046705,534,95.338327,534,96.30923,534,98.028847,534,98.698623,534,96.179726
,536,0.004287,536,0.001746,536,0.007968,536,96.319199,536,95.180237,536,96.334007,536,95.821694,536,98.691257,536,97.528569
,538,0.004134,538,0.00038,538,0.005275,538,92.178795,538,95.868957,538,96.335333,538,93.929807,538,98.672559,538,96.82945
,540,0.002885,540,0.000273,540,0.004001,540,89.407351,540,96.279278,540,96.543979,540,94.316247,540,98.241039,540,95.356553
,542,0.001199,542,0.000309,542,0.003646,542,87.920004,542,96.952015,542,97.520159,542,96.22733,542,98.064991,542,95.439952
,544,0.00057,544,0.000392,544,0.003089,544,68.605482,544,97.932596,544,98.390467,544,97.576221,544,97.743206,544,96.749549
,546,0.000642,546,0.000285,546,0.002293,546,29.412942,546,98.348461,546,98.048685,546,97.849352,546,97.359047,546,98.079216
,548,9.50E-05,548,0.000356,548,0.001295,548,6.690461,548,97.356373,548,96.758599,548,97.615077,548,97.688746,548,98.71881
,550,-7.10E-05,550,0.000392,550,0.000819,550,1.299862,550,95.9892,550,96.224688,550,96.41711,550,98.348271,550,98.703248
,552,0.000107,552,0.000949,552,0.000866,552,0.295569,552,95.696635,552,97.042709,552,94.808718,552,98.020732,552,98.562586
,554,0.000617,554,0.000843,554,0.0007,554,0.084857,554,96.261607,554,97.743078,554,94.517709,554,97.140759,554,98.471277
,556,0.000451,556,0.000546,556,0.00038,556,0.030483,556,96.677853,556,97.217197,556,96.102661,556,97.264619,556,98.088164
,558,0.000297,558,0.00051,558,0.000629,558,0.013251,558,96.46317,558,96.139445,558,97.452636,558,98.089907,558,97.549176
,560,-0.000226,560,0.000522,560,0.000392,560,0.006828,560,96.530326,560,96.066093,560,97.221646,560,97.795337,560,97.401508
,562,0.000143,562,0.000275,562,0.000442,562,0.004192,562,97.210949,562,97.217362,562,96.282244,562,96.521941,562,97.691597
,564,0.000369,564,0.000465,564,0.000214,564,0.003265,564,97.691553,564,98.189774,564,96.018258,564,96.385064,564,98.047719
,566,0.000286,566,0.000702,566,0.00025,566,0.002738,566,97.606695,566,98.020036,566,96.885954,566,97.371554,566,98.275054
,568,4.80E-05,568,0.000845,568,0.000143,568,0.002296,568,97.210715,568,96.814049,568,97.80377,568,97.475647,568,97.831701
,570,-7.10E-05,570,0.001081,570,5.90E-05,570,0.00221,570,96.680076,570,95.677206,570,97.99741,570,96.507995,570,97.015158
,572,-0.000107,572,0.001568,572,0.000143,572,0.002791,572,95.755933,572,95.414559,572,97.514252,572,96.553568,572,97.153056
,574,0.000261,574,0.001234,574,0.000166,574,0.004165,574,94.157822,574,95.836947,574,96.617958,574,97.352595,574,97.838515
,576,0.000273,576,5.90E-05,576,0.00019,576,0.005458,576,93.14116,576,96.744445,576,95.83733,576,96.807791,576,97.60536
,578,-2.40E-05,578,0.000368,578,0.000486,578,0.005514,578,93.982536,578,97.761381,578,95.480332,578,94.49066,578,96.153562
,580,-0.000178,580,0.000356,580,0.000628,580,0.004481,580,96.167071,580,98.415282,580,95.916951,580,93.584279,580,95.792768
,582,-0.000237,582,0.000426,582,0.000557,582,0.003341,582,97.753181,582,98.186605,582,96.800807,582,95.298718,582,96.836005
,584,0.000166,584,0.000118,584,0.000438,584,0.0029,584,97.834269,584,96.859884,584,97.606431,584,97.698203,584,97.288194
,586,0.000201,586,8.30E-05,586,0.000225,586,0.003042,586,97.36334,586,95.420172,586,97.914294,586,98.753614,586,96.471245
,588,0.000118,588,5.90E-05,588,0.000248,588,0.003525,588,97.424219,588,94.846759,588,97.410331,588,98.797401,588,96.094487
,590,0.000106,590,3.50E-05,590,0.000379,590,0.005027,590,97.839652,590,95.242829,590,96.898144,590,98.88052,590,96.947836
,592,3.50E-05,592,0.00013,592,0.000355,592,0.007343,592,98.119487,592,96.108785,592,96.96417,592,98.207652,592,96.877176
,594,0.000473,594,0.000296,594,0.00039,594,0.009496,594,98.328527,594,96.735415,594,97.573061,594,96.394751,594,94.980662
,596,0.002671,596,0.000378,596,0.000508,596,0.009549,596,97.741616,596,97.019801,596,98.00388,596,94.932293,596,93.581349
,598,0.007559,598,0.000295,598,0.000638,598,0.008504,598,94.975312,598,97.534683,598,97.526014,598,95.446834,598,94.764031
,600,0.008169,600,0.000189,600,0.00059,600,0.008264,600,91.01842,600,98.004916,600,96.601051,600,97.052664,600,97.228901
,602,0.004626,602,-8.30E-05,602,0.000519,602,0.009205,602,89.835494,602,97.680032,602,96.225933,602,97.542114,602,98.638952
,604,0.004378,604,0.000212,604,0.00072,604,0.011259,604,88.745802,604,96.527673,604,96.89442,604,96.557083,604,98.70239
,606,0.004673,606,0.000224,606,0.000897,606,0.011399,606,72.22314,606,95.279521,606,97.79279,606,95.558452,606,98.691392
,608,0.004708,608,0.000212,608,0.001003,608,0.008849,608,36.402204,608,94.869518,608,98.048322,608,95.920306,608,98.546321
,610,0.003516,610,0.000319,610,0.001911,610,0.006253,610,10.150309,610,95.313076,610,97.572011,610,97.178065,610,97.274926
,612,0.002418,612,0.000295,612,0.004211,612,0.004872,612,2.236477,612,96.025493,612,97.123754,612,98.187298,612,95.345415
,614,0.001463,614,0.000283,614,0.00519,614,0.00447,614,0.559159,614,96.476654,614,97.420908,614,98.601825,614,94.777343
,616,0.000931,616,7.10E-05,616,0.00211,616,0.004185,616,0.169747,616,96.721403,616,98.171086,616,98.248734,616,96.105966
,618,0.000861,618,8.30E-05,618,0.000318,618,0.003644,618,0.063013,618,97.274089,618,98.468374,618,97.339885,618,97.478446
,620,0.000684,620,-1.20E-05,620,0.000177,620,0.002417,620,0.027176,620,97.829257,620,97.629755,620,95.878531,620,97.265567
,622,0.000766,622,-1.20E-05,622,0.000189,622,0.001344,622,0.013605,622,97.933082,622,96.202302,622,94.744127,622,95.925501
,624,0.000837,624,-0.000189,624,-4.70E-05,624,0.000978,624,0.007969,624,97.665927,624,95.16482,624,94.883021,624,95.314243
,626,0.001391,626,0.0002,626,0.000118,626,0.001002,626,0.005597,626,97.573763,626,94.995454,626,96.23937,626,96.218595
,628,0.001356,628,0.000259,628,0.000106,628,0.000802,628,0.004256,628,97.891013,628,95.715914,628,97.605968,628,97.765673
,630,0.00046,630,5.90E-05,630,-0.0002,630,0.000507,630,0.003288,630,97.903345,630,96.665453,630,97.827891,630,98.656063
,632,0.000236,632,4.70E-05,632,-0.000283,632,0.000271,632,0.002816,632,97.035623,632,97.541443,632,97.212022,632,98.709711
,634,0.000483,634,-8.20E-05,634,4.70E-05,634,0.000495,634,0.002979,634,95.573911,634,98.12656,634,96.754942,634,98.093575
,636,0.000648,636,3.50E-05,636,0.000188,636,0.000895,636,0.00378,636,94.638864,636,98.315911,636,97.12653,636,96.965854
,638,0.000495,638,0.000259,638,0.000177,638,0.000671,638,0.004898,638,95.067083,638,97.934206,638,98.064996,638,95.753718
,640,8.20E-05,640,0.0002,640,9.40E-05,640,8.20E-05,640,0.006155,640,96.408533,640,97.114143,640,98.698482,640,94.989876
,642,7.10E-05,642,0.000353,642,0.000106,642,-0.000141,642,0.006962,642,97.475555,642,95.98399,642,98.657422,642,95.220338
,644,0.000282,644,0.000388,644,0.000235,644,0.000118,644,0.006608,644,97.733578,644,94.963625,644,98.108777,644,96.297739
,646,0.0004,646,0.000176,646,0.000376,646,0.000329,646,0.005633,646,97.476178,646,94.392779,646,97.418381,646,97.371062
,648,0.00047,648,0.000553,648,0.000294,648,0.000341,648,0.004375,648,96.990056,648,94.461491,648,96.908921,648,97.546772
,650,0.000247,650,0.000929,650,7.10E-05,650,0.000188,650,0.003351,650,96.710453,650,95.202093,650,96.787686,650,97.083548
,652,8.20E-05,652,0.00047,652,2.40E-05,652,0.000294,652,0.003198,652,96.73919,652,96.40767,652,97.077611,652,96.918129
,654,0.000223,654,0.000435,654,0.000117,654,0.000564,654,0.00376,654,97.0957,654,97.60426,654,97.367863,654,97.295813
,656,0.000235,656,0.000529,656,0.000305,656,0.00074,656,0.005121,656,97.037778,656,98.227477,656,97.164845,656,98.045692
