K206156 LF103454 LVSWP,,,,,,,,,,,,,,,,,,
,658,0.000258,658,0.000798,658,0.000211,658,0.000528,658,0.007327,658,95.333969,658,98.038098,658,96.699483,658,98.7279
,660,0.000211,660,0.000669,660,0.000129,660,0.000364,660,0.009589,660,92.215786,660,97.471818,660,96.554561,660,98.894567
,662,-9.40E-05,662,0.000528,662,0.000141,662,0.000223,662,0.010888,662,90.323187,662,97.139059,662,97.040296,662,98.535957
,664,0.000235,664,0.00027,664,-2.30E-05,664,0,664,0.010463,664,91.317105,664,97.350394,664,97.873322,664,97.78326
,666,0.000434,666,0.000305,666,0.000129,666,0.000258,666,0.009804,666,89.351102,666,97.911484,666,98.488558,666,96.935004
,668,0.00034,668,0.000422,668,0.000293,668,0.000399,668,0.009859,668,70.335051,668,98.221367,668,98.448778,668,96.472711
,670,0.000352,670,0.000563,670,0.000234,670,0.000129,670,0.010712,670,35.792901,670,98.006305,670,97.80435,670,96.630231
,672,0.000211,672,0.000586,672,0.000199,672,1.20E-05,672,0.01203,672,10.862676,672,97.424206,672,96.77822,672,97.164446
,674,0.000258,674,0.000246,674,0.000187,674,0.000105,674,0.013032,674,2.659079,674,96.893557,674,95.622599,674,97.587225
,676,0.000316,676,0.000269,676,0.000304,676,9.40E-05,676,0.012151,676,0.731679,676,96.618589,676,94.660573,676,97.469365
,678,0.000585,678,0.000538,678,0.000129,678,7.00E-05,678,0.009574,678,0.241994,678,96.743387,678,94.332982,678,97.123151
,680,0.000573,680,0.000819,680,7.00E-05,680,0.000129,680,0.007462,680,0.095439,680,96.998356,680,94.871981,680,96.927478
,682,0.000327,682,0.000573,682,0.000351,682,0.000292,682,0.006103,682,0.04308,682,97.396766,682,96.210272,682,97.299067
,684,0.000339,684,0.00014,684,0.000386,684,0.000245,684,0.005398,684,0.022047,684,97.823945,684,97.712169,684,98.096905
,686,0.000654,686,0.000117,686,0.000339,686,9.30E-05,686,0.005245,686,0.012967,686,98.129025,686,98.517339,686,98.699475
,688,0.001146,688,0.000257,688,0.000351,688,0.000339,688,0.004668,688,0.00861,688,97.810271,688,98.230653,688,98.517334
,690,0.002122,690,0.000129,690,0.000211,690,0.000141,690,0.003552,690,0.006072,690,96.854814,690,97.457161,690,97.514609
,692,0.003268,692,0.000258,692,0.000223,692,2.30E-05,692,0.002553,692,0.004708,692,95.459858,692,96.882152,692,96.064939
,694,0.002808,694,0.000714,694,0.000152,694,0.000222,694,0.001872,694,0.003931,694,94.532415,694,96.928376,694,94.767897
,696,0.001333,696,0.000316,696,9.40E-05,696,0.000129,696,0.00145,696,0.003707,696,94.705462,696,97.212978,696,94.139923
,698,0.000865,698,0.000117,698,8.20E-05,698,7.00E-05,698,0.001145,698,0.004371,698,95.757893,698,97.13577,698,94.497095
,700,0.000829,700,0.000432,700,1.20E-05,700,-4.70E-05,700,0.001016,700,0.005,700,96.950848,700,96.815222,700,95.745713
,702,0.000782,702,0.000584,702,0.000268,702,3.50E-05,702,0.000642,702,0.005988,702,97.625323,702,96.764724,702,97.304433
,704,0.000222,704,0.0007,704,0.000373,704,0.000152,704,0.000326,704,0.007543,704,97.608056,704,97.117012,704,98.387898
,706,0.00014,706,0.000734,706,0.00035,706,9.30E-05,706,0.000105,706,0.008459,706,97.455479,706,97.673868,706,98.667587
,708,0.000524,708,0.000559,708,0.000454,708,0.000314,708,0.000198,708,0.008313,708,97.401636,708,97.784865,708,98.223202
,710,0.000896,710,0.000302,710,0.000151,710,0.000326,710,0.000326,710,0.007271,710,97.397375,710,97.13597,710,97.54127
,712,0.000593,712,0.000174,712,-0.000105,712,1.20E-05,712,-1.20E-05,712,0.00577,712,97.615486,712,96.406939,712,97.236723
,714,0.000477,714,0.000302,714,0,714,-0.000186,714,-0.00014,714,0.004547,714,97.986865,714,96.352506,714,97.220474
,716,0.000418,716,0.000337,716,-0.000139,716,-0.000221,716,0.000174,716,0.003836,716,98.383383,716,97.155395,716,97.30658
,718,0.001022,718,0.000778,718,0.000174,718,0.000128,718,0.000372,718,0.00404,718,98.125052,718,98.071322,718,97.16762
,720,0.002054,720,0.002204,720,0.000499,720,0.00036,720,0.00058,720,0.00485,720,96.381068,720,98.301374,720,96.847367
,722,0.001403,722,0.003641,722,0.000174,722,8.10E-05,722,0.000429,722,0.005937,722,93.454958,722,97.584683,722,96.697004
,724,0.000556,724,0.003928,724,0.000336,724,4.60E-05,724,0.000324,724,0.007879,724,91.153327,724,96.509826,724,96.839657
,726,9.30E-05,726,0.002617,726,0.000174,726,0.000197,726,0.000232,726,0.010006,726,91.464286,726,95.922266,726,97.025539
,728,0.000729,728,0.001157,728,-0.000139,728,0.000289,728,0.000278,728,0.012023,728,93.661489,728,96.202314,728,97.106022
,730,0.001075,730,0.000405,730,0.000139,730,0.000347,730,0.00052,730,0.012528,730,90.457599,730,96.90153,730,96.903899
,732,0.000485,732,8.10E-05,732,0.000427,732,6.90E-05,732,0.000208,732,0.011631,732,68.67028,732,97.331627,732,96.739495
,734,0.000462,734,0.000173,734,0.000416,734,-0.000231,734,-3.50E-05,734,0.010903,734,34.157753,734,97.310746,734,96.971029
,736,0.000289,736,5.80E-05,736,0.000439,736,-0.000173,736,-3.50E-05,736,0.010843,736,10.765534,736,97.016108,736,97.466249
,738,0.000681,738,-0.000312,738,0.000127,738,0.000173,738,3.50E-05,738,0.011954,738,2.861699,738,97.087151,738,97.997293
,740,0.001775,740,-0.000138,740,-0.000161,740,-5.80E-05,740,3.50E-05,740,0.013831,740,0.861536,740,97.659644,740,98.079711
,742,0.004482,742,0.00068,742,0.000104,742,-0.00038,742,4.60E-05,742,0.014727,742,0.309637,742,98.057228,742,97.628154
,744,0.01044,744,0.00084,744,-5.80E-05,744,-0.000322,744,-0.000576,744,0.012305,744,0.128438,744,97.711326,744,96.809484
,746,0.014839,746,0.000817,746,0.000104,746,-0.00023,746,-0.000575,746,0.007466,746,0.061427,746,96.789916,746,96.293786
,748,0.01262,748,0.000955,748,0.000288,748,0.000253,748,0.000345,748,0.003555,748,0.033166,748,95.81809,748,96.403213
,750,0.00855,750,0.000701,750,0.000483,750,0.000678,750,0.000287,750,0.001758,750,0.019489,750,95.528489,750,96.77742
,752,0.006475,752,0.000689,752,0.000781,752,0.000321,752,5.70E-05,752,0.000953,752,0.012434,752,96.114323,752,97.118521
,754,0.006031,754,0.000952,754,0.000264,754,-0.000206,754,0.000332,754,0.00055,754,0.008519,754,96.986297,754,97.119856
,756,0.006599,756,0.000882,756,8.00E-05,756,-0.000309,756,0.000367,756,3.40E-05,756,0.006541,756,97.511912,756,97.053792
,758,0.007533,758,0.000389,758,0.000561,758,8.00E-05,758,0.00055,758,9.20E-05,758,0.005839,758,97.461037,758,97.128243
,760,0.007511,760,4.60E-05,760,0.000733,760,0.000985,760,0.000698,760,0.000412,760,0.005302,760,97.333887,760,97.350479
,762,0.00537,762,0.000344,762,0.000412,762,0.000538,762,0.000229,762,3.40E-05,762,0.004809,762,97.681544,762,97.872608
,764,0.003834,764,0.000504,764,0.000893,764,-0.000481,764,-0.000332,764,-5.70E-05,764,0.004841,764,98.231544,764,98.102584
,766,0.002676,766,0.000709,766,0.000938,766,6.90E-05,766,-0.00056,766,0.000126,766,0.005478,766,98.508948,766,97.697382
,768,0.001702,768,0.001051,768,0,768,0.000697,768,-0.000571,768,-0.000217,768,0.006785,768,98.219518,768,96.910664
,770,0.000468,770,0.001769,770,0.000411,770,0.000788,770,-0.000399,770,-0.000103,770,0.00864,770,97.872525,770,96.096984
,772,-0.000616,772,0.001381,772,0.000171,772,0.000285,772,-0.000399,772,0.00032,772,0.009907,772,98.045975,772,95.763324
,774,-0.000718,774,0.001665,774,0.000171,774,2.30E-05,774,-0.000285,774,0.000342,774,0.009351,774,98.344032,774,96.005982
,776,-0.00057,776,0.004603,776,0.001082,776,-0.000137,776,0.000387,776,-9.10E-05,776,0.008214,776,97.952338,776,96.612035
,778,-0.000114,778,0.009865,778,0.002552,778,0.000205,778,0.000649,778,-3.40E-05,778,0.006743,778,96.133996,778,97.215505
,780,0.000159,780,0.013619,780,0.003746,780,0.000342,780,-0.000114,780,0.000399,780,0.0055,780,93.304846,780,97.635297
,782,0.001879,782,0.012149,782,0.004122,782,-0.000148,782,-0.000273,782,0.000353,782,0.005021,782,91.089739,782,97.937249
,784,0.002015,784,0.008652,784,0.002026,784,5.70E-05,784,0.000774,784,8.00E-05,784,0.004599,784,91.028257,784,98.245716
,786,0.000239,786,0.006182,786,0.000649,786,0.000535,786,0.000398,786,-0.000398,786,0.004588,786,93.215203,786,98.557007
,788,0.000535,788,0.005475,788,0.001081,788,6.80E-05,788,0.000273,788,-0.000216,788,0.00527,788,93.935723,788,98.434604
,790,0.001807,790,0.006593,790,0.000432,790,-0.000193,790,0.000466,790,0.000534,790,0.006002,790,79.392778,790,97.960906
,792,0.00252,792,0.007027,792,0.000749,792,-2.30E-05,792,4.50E-05,792,0.000307,792,0.005744,792,45.47534,792,97.651366
,794,0.002077,794,0.008047,794,0.000999,794,0.000148,794,-0.000193,794,-7.90E-05,794,0.004597,794,16.585227,794,97.966607
,796,0.001385,796,0.006755,796,3.40E-05,796,0.000795,796,-0.000409,796,0,796,0.003349,796,4.6875,796,98.561208
,798,0.002792,798,0.003075,798,0.000431,798,0.000828,798,-0.000125,798,-0.000136,798,0.001521,798,1.43056,798,98.445854
,800,0.004527,800,0.002224,800,0.000499,800,0.000987,800,0.000284,800,0.000329,800,0.000772,800,0.512953,800,96.822339
,802,0.009243,802,0.001385,802,-0.00017,802,0.000852,802,-0.000568,802,0.000534,802,0.000284,802,0.215737,802,94.449361
,804,0.010296,804,0.001328,804,-0.000636,804,-7.90E-05,804,-0.000954,804,0.000397,804,-0.000148,804,0.101719,804,92.352216
,806,0.008411,806,0.001519,806,-0.000181,806,-0.000533,806,-0.000533,806,-7.90E-05,806,0.000419,806,0.053448,806,91.611757
,808,0.009049,808,5.70E-05,808,2.30E-05,808,0.000373,808,-0.000385,808,-0.000441,808,0.000633,808,0.031298,808,92.476711
,810,0.007267,810,-0.001777,810,0.001234,810,0.000894,810,-0.00026,810,0.000634,810,0.000781,810,0.019991,810,94.489846
,812,0.006829,812,-0.001223,812,0.002537,812,0.000487,812,0.000804,812,0.001053,812,0.000736,812,0.0141,812,93.519388
,814,0.005796,814,0.000295,814,0.003358,814,-0.000113,814,0.000102,814,0.000873,814,-0.000136,814,0.009789,814,73.190625
,816,0.003948,816,-0.001532,816,0.000533,816,-0.000442,816,-0.001021,816,-0.000284,816,-0.001293,816,0.007114,816,36.39478
,818,0.005133,818,-0.000703,818,-0.000374,818,0.00111,818,-0.00102,818,-0.000204,818,0.000374,818,0.00664,818,11.735887
,820,0.005573,820,-0.000159,820,-0.000692,820,0.000988,820,-0.000193,820,-0.000329,820,0.000204,820,0.006061,820,3.353472
,822,0.007201,822,0.000705,822,0.00033,822,0.001047,822,0.000341,822,2.30E-05,822,0.000728,822,0.006393,822,1.105462
,824,0.013378,824,0.000956,824,-0.000774,824,0.000797,824,0.000751,824,0.000751,824,-0.000581,824,0.006273,824,0.427878
,826,0.016935,826,0.000786,826,-0.001025,826,-0.000729,826,0.000456,826,-0.000763,826,-0.001378,826,0.005398,826,0.187386
,828,0.023049,828,0.001315,828,0.00016,828,0.000457,828,-0.001566,828,-0.001315,828,-0.000206,828,0.006585,828,0.091214
,830,0.033259,830,-0.003358,830,0.00047,830,-0.001169,830,0.002017,830,0.000676,830,0.000149,830,0.00981,830,0.051356
,832,0.054578,832,-0.003648,832,0.001047,832,0.000322,832,0.000875,832,-0.000449,832,-0.000322,832,0.010333,832,0.029999
,834,0.10252,834,0.001572,834,0.000104,834,0.000624,834,-0.000543,834,-0.000821,834,-0.001642,834,0.00511,834,0.020222
,836,0.247872,836,0.003324,836,0.00183,836,-0.004262,836,-0.00212,836,-0.001529,836,-0.001042,836,0.000486,836,0.01347
,838,0.861934,838,0.008279,838,0.0034,838,-0.005799,838,-0.002666,838,-0.000885,838,-0.000221,838,0.001083,838,0.010247
,840,4.419523,840,0.014035,840,0.00906,840,-0.005256,840,-0.006333,840,-0.001311,840,-0.000515,840,0.001381,840,0.008861
,842,15.097074,842,0.008368,842,0.013275,842,-0.004131,842,-0.006249,842,-0.000977,842,-0.003742,842,-0.000577,842,0.005567
,844,19.132101,844,0.008088,844,0.013764,844,-0.003559,844,-0.003666,844,-0.00065,844,-0.000662,844,-0.001904,844,7.10E-05
,846,10.087993,846,-0.000143,846,0.004953,846,-0.003849,846,-0.001022,846,-0.00038,846,0.00133,846,0.000772,846,0.002388
,848,4.425439,848,0.006379,848,0.004754,848,-0.005543,848,-0.000251,848,-0.000155,848,0.004384,848,-0.001314,848,0.004838
,850,3.41146,850,-0.006505,850,-0.002208,850,-0.001092,850,-0.002904,850,0.00072,850,0.001596,850,0.000984,850,0.002868
,852,3.685366,852,-0.013248,852,0.006012,852,0.001572,852,0.002556,852,0.002316,852,0.001308,852,0.004236,852,0.007692
,854,4.838348,854,-0.004919,854,0.010188,854,0,854,-0.006411,854,-0.001479,854,0.002117,854,-0.001768,854,0.00777
,856,7.015516,856,0.001183,856,0.002608,856,-0.005301,856,-0.009201,856,-0.007789,856,-0.002693,856,-0.009044,856,-0.001932
,858,9.98339,858,-0.007507,858,0.00729,858,-0.002478,858,-0.005114,858,0.004413,858,-0.006202,858,-0.006637,858,-0.001886
,860,12.13627,860,-0.007346,860,0.005707,860,-0.004529,860,-0.004723,860,0.009738,860,0.002865,860,-0.001712,860,0.0021
,862,11.800684,862,-0.010094,862,-0.000777,862,-0.009572,862,-0.013094,862,-0.001409,862,0.009341,862,0.003583,862,-0.006511
,864,10.174827,864,-0.007847,864,0.007019,864,-0.008335,864,-0.012636,864,0.004947,864,0.012904,864,0.008676,864,-0.002985
,866,8.720554,866,-0.008143,866,-0.006239,866,-0.024429,866,-0.013515,866,-0.002088,866,0.001868,866,-0.001929,866,-0.009083
,868,8.05768,868,-0.003331,868,-0.025954,868,0.016656,868,-0.016022,868,-0.030054,868,-0.008895,868,-0.005454,868,0.005369
,870,8.501612,870,0.030122,870,-0.049604,870,-0.039305,870,-0.034045,870,-0.042062,870,-0.029539,870,-0.034446,870,-0.027401
,872,10.365499,872,0.088953,872,-0.050574,872,-0.029102,872,-0.018921,872,0.007227,872,-0.036707,872,-0.013098,872,-0.00033
,874,14.730947,874,0.198545,874,-0.02104,874,-0.02855,874,-0.006477,874,-0.015952,874,-0.047071,874,0.002974,874,0.001082
,876,24.379454,876,0.587666,876,-0.020638,876,0.036077,876,0.011451,876,-0.02963,876,-0.005456,876,0.025886,876,-0.01561
,878,30.756343,878,5.085242,878,-0.75155,878,-0.044708,878,-0.250016,878,-0.086035,878,0.076289,878,-0.738975,878,-0.062388
,880,35.622857,880,9.416288,880,0.973427,880,0.173716,880,0.042777,880,-1.283085,880,-0.977352,880,-2.013028,880,-1.291203
,882,34.755864,882,9.882276,882,-0.339758,882,0.39454,882,0.693233,882,1.081802,882,0.915447,882,0.725764,882,-0.216885
,884,31.52363,884,10.436199,884,0.641929,884,1.09307,884,0.424157,884,0.475241,884,0.837417,884,0.556942,884,0.452294
,886,26.426608,886,10.293276,886,3.25562,886,1.461441,886,1.903618,886,0.76882,886,2.58611,886,1.819349,886,1.506046
,888,19.693908,888,7.629751,888,-0.311588,888,0.217226,888,0.303871,888,-1.53066,888,-0.767109,888,-2.295007,888,-1.236897
,890,15.312328,890,5.054447,890,-2.092219,890,-1.179313,890,-1.807969,890,-2.24912,890,-1.420812,890,-1.86938,890,-2.438289
,892,13.230408,892,6.344768,892,0.221177,892,0.757635,892,0.487652,892,-0.423941,892,0.526931,892,0.871555,892,-0.194289
,894,10.703093,894,6.453945,894,-0.83211,894,-0.999969,894,-0.6238,894,-1.463491,894,-1.767866,894,-0.058952,894,-1.147235
,896,11.271398,896,7.306561,896,-1.121905,896,-0.896368,896,-1.067071,896,-0.339715,896,-0.893076,896,-0.723826,896,-1.20954
,898,13.717647,898,8.643443,898,-1.020969,898,-2.112782,898,-0.175626,898,0.084678,898,-0.879102,898,-1.941836,898,-0.434194
,900,15.829228,900,8.675444,900,-0.089372,900,-0.978575,900,0.051355,900,-0.530946,900,-0.38742,900,-0.181171,900,-0.474249
,902,21.077204,902,10.487508,902,-0.173723,902,0.720434,902,0.056872,902,0.615674,902,0.11866,902,-0.162168,902,1.269093
,904,26.948389,904,9.956528,904,-0.689978,904,-0.796932,904,-0.576776,904,-0.595406,904,-1.031261,904,-0.509638,904,-0.760211
,906,37.04999,906,10.252518,906,0.143394,906,-0.014523,906,0.10509,906,-0.097474,906,0.260544,906,0.18133,906,0.693472
,908,43.800148,908,12.128143,908,-0.166015,908,0.430607,908,1.105394,908,0.235483,908,0.261684,908,0.284428,908,-0.021071
,910,55.120394,910,14.662366,910,-0.202589,910,0.307257,910,-0.379816,910,-0.594816,910,-0.639023,910,0.202532,910,-0.641841
,912,62.613693,912,18.875115,912,0.453578,912,0.099739,912,-0.630438,912,0.365963,912,0.042758,912,0.280739,912,-0.086827
,914,68.795705,914,25.413077,914,0.308469,914,0.496168,914,0.949216,914,-0.044158,914,0.534878,914,0.152793,914,0.115842
,916,67.478751,916,30.356643,916,0.053052,916,0.149407,916,-0.393307,916,-0.205486,916,0.389168,916,-0.193515,916,0.179405
,918,72.574748,918,34.347003,918,0.041343,918,-0.447343,918,0.024568,918,-0.278132,918,0.043178,918,0.134477,918,0.19587
,920,71.368883,920,35.46388,920,0.59433,920,0.123382,920,0.484853,920,-0.341356,920,-0.469689,920,0.243098,920,0.721264
,922,75.567011,922,35.353484,922,0.501437,922,-0.621839,922,-0.446107,922,0.161045,922,-0.237218,922,0.180844,922,-0.169857
,924,75.325109,924,30.54287,924,-0.535924,924,-0.664376,924,-0.7897,924,-0.316551,924,-0.094134,924,-0.347459,924,-0.983491
,926,79.053863,926,27.77709,926,-0.3098,926,0.066638,926,-0.102386,926,-0.235892,926,-0.297473,926,0.002902,926,0.053621
,928,79.079303,928,23.458237,928,1.480464,928,1.549298,928,2.002318,928,1.112937,928,1.459724,928,0.846297,928,1.613207
,930,77.307417,930,16.711301,930,-0.925649,930,-1.078496,930,-1.013293,930,-1.166025,930,-0.907622,930,-0.689544,930,-1.193282
,932,73.501284,932,13.729151,932,-0.205994,932,0.562433,932,-0.758698,932,-0.395954,932,-0.346424,932,-0.446711,932,0.224511
,934,66.949194,934,11.608995,934,-0.36655,934,-0.410515,934,0.006888,934,0.071766,934,-0.013637,934,0.175277,934,-0.239738
,936,62.568762,936,11.264734,936,0.095977,936,-0.349203,936,-0.115241,936,-0.283101,936,-0.742772,936,-0.116018,936,0.246124
,938,57.10831,938,12.358837,938,-0.388235,938,-0.084873,938,-0.271814,938,-0.046192,938,0.003393,938,-0.399747,938,-0.080408
,940,49.850178,940,15.232642,940,1.3884,940,0.198689,940,0.950725,940,0.159761,940,-0.026494,940,0.311537,940,0.445347
,942,43.774243,942,19.150027,942,2.557266,942,0.674309,942,0.069732,942,0.417404,942,0.573758,942,0.263503,942,0.430403
,944,39.511411,944,24.705413,944,3.619273,944,0.43315,944,0.27515,944,-0.301587,944,0.159393,944,-0.061148,944,0.133922
,946,37.360176,946,31.792818,946,5.611582,946,0.35036,946,-0.105355,946,0.086065,946,0.155564,946,0.539908,946,-0.01373
,948,36.576866,948,40.726699,948,7.554375,948,-0.290729,948,-0.363185,948,0.118173,948,-0.14324,948,-0.355906,948,-0.201732
,950,38.039403,950,50.406746,950,9.744472,950,-0.265741,950,-0.253524,950,-0.063852,950,-0.135183,950,0.286349,950,-0.122224
,952,41.608138,952,57.614221,952,10.586904,952,0.091959,952,0.028773,952,0.111828,952,-0.297234,952,-0.005211,952,-0.108192
,954,46.115458,954,62.680318,954,10.346236,954,0.647625,954,0.416636,954,0.05441,954,0.358002,954,0.387291,954,0.379152
,956,51.574475,956,66.598208,956,8.872116,956,-0.578843,956,-0.206917,956,-0.185192,956,-0.103459,956,-0.009706,956,-0.476241
,958,58.989481,958,68.188539,958,8.71645,958,0.229082,958,0.216231,958,0.177537,958,0.371437,958,0.349734,958,0.141841
,960,64.922466,960,68.078515,960,7.394302,960,0.100962,960,-0.015758,960,-0.079761,960,-0.190099,960,-0.146043,960,0.066596
,962,71.945403,962,67.936588,962,6.863349,962,-0.284427,962,-0.440577,962,-0.201691,962,-0.276856,962,-0.262918,962,-0.03688
,964,75.641743,964,66.943544,964,6.923782,964,0.136714,964,0.009044,964,0.016813,964,0.153243,964,0.318848,964,0.315247
,966,77.260055,966,66.863505,966,7.766032,966,-0.273639,966,-0.246881,966,-0.020897,966,-0.31127,966,-0.191723,966,-0.117225
,968,78.232252,968,66.865579,968,9.145939,968,-0.03601,968,-0.304803,968,-0.079981,968,-0.218629,968,-0.405614,968,-0.627982
,970,74.978435,970,66.147617,970,10.332687,970,-0.174402,970,-0.178795,970,-0.299084,970,-0.187552,970,-0.48133,970,-0.420915
,972,72.218095,972,65.611328,972,11.557447,972,0.220951,972,0.638989,972,0.453185,972,0.303829,972,0.462318,972,0.4011
,974,68.067969,974,63.340113,974,11.587507,974,-0.127916,974,-0.103291,974,0.026079,974,-0.134728,974,-0.167049,974,0.10748
,976,63.807001,976,60.687864,976,11.542986,976,0.002471,976,-0.381907,976,-0.314757,976,-0.115438,976,-0.037949,976,-0.283369
,978,62.453537,978,56.880393,978,12.01882,978,0.114468,978,-0.184061,978,-0.118425,978,-0.121981,978,-0.200061,978,-0.134569
,980,59.566965,980,51.365696,980,13.181663,980,-0.39999,980,-0.034452,980,-0.275505,980,-0.191225,980,-0.016059,980,-0.220268
,982,58.868141,982,47.250767,982,15.410931,982,0.146838,982,-0.161777,982,-0.011928,982,-0.116501,982,0.230881,982,-0.127569
,984,58.996583,984,41.889003,984,19.250272,984,0.133817,984,0.322369,984,0.155728,984,0.335323,984,-0.033022,984,0.139373
,986,59.438381,986,37.917989,986,23.64795,986,0.226329,986,0.137448,986,0.275854,986,0.32983,986,0.593374,986,-0.044088
,988,60.904423,988,35.982166,988,29.499109,988,-0.062024,988,-0.057014,988,0.166915,988,-0.054225,988,0.076114,988,0.093961
,990,63.049188,990,34.858506,990,34.535946,990,-0.329121,990,-0.448099,990,0.051373,990,-0.010811,990,-0.232792,990,-0.172405
,992,63.784052,992,35.951349,992,38.076288,992,0.078964,992,0.246041,992,0.281866,992,0.061697,992,-0.048732,992,0.05771
,994,63.369716,994,36.906294,994,37.794326,994,0.130793,994,-0.264311,994,-0.103447,994,-0.206383,994,-0.063096,994,-0.130452
,996,62.563781,996,40.589202,996,35.804535,996,0.257272,996,0.30319,996,0.070499,996,0.039204,996,0.191268,996,0.03744
,998,61.972023,998,45.419487,998,31.637983,998,-0.012075,998,0.008136,998,-0.0332,998,-0.123666,998,-0.225179,998,-0.037425
,1000,59.820571,1000,51.415395,1000,26.64848,1000,-0.226436,1000,-0.31217,1000,-0.428874,1000,-0.3072,1000,-0.143644,1000,-0.1525
